date,state,price
2022-01-01,Johor,1.8544949494949492
2022-02-01,Johor,1.8806095437129917
2022-03-01,Johor,1.888932003500969
2022-04-01,Johor,1.9054221927497792
2022-05-01,Johor,1.9156113689949896
2022-06-01,Johor,1.9263805997642205
2022-07-01,Johor,1.9370825702075702
2022-08-01,Johor,1.9380409035409034
2022-09-01,Johor,1.9390238095238093
2022-10-01,Johor,1.9081363636363633
2022-11-01,Johor,1.9105113636363633
2022-12-01,Johor,1.9467002525252524
2023-01-01,Johor,1.9695145061728396
2023-02-01,Johor,1.9533660018993355
2023-03-01,Johor,1.9118376068376068
2023-04-01,Johor,1.9194346086012752
2023-05-01,Johor,1.9790970017636684
2023-06-01,Johor,2.037299755799756
2023-07-01,Johor,2.0575378510378513
2023-08-01,Johor,2.064765449604159
2023-09-01,Johor,2.05392072025943
2023-10-01,Johor,2.0902079226403822
2023-11-01,Johor,2.091732849326599
2022-01-01,Kedah,1.6835096153846154
2022-02-01,Kedah,1.683897664835165
2022-03-01,Kedah,1.6887600593850596
2022-04-01,Kedah,1.69981240981241
2022-05-01,Kedah,1.7094949494949496
2022-06-01,Kedah,1.7251515151515153
2022-07-01,Kedah,1.7362626262626264
2022-08-01,Kedah,1.7484848484848488
2022-09-01,Kedah,1.7476190476190476
2022-10-01,Kedah,1.7487301587301587
2022-11-01,Kedah,1.7524935995903739
2022-12-01,Kedah,1.7629390681003585
2023-01-01,Kedah,1.7751035702648605
2023-02-01,Kedah,1.7918163198808361
2023-03-01,Kedah,1.8135763651553127
2023-04-01,Kedah,1.8336340852130328
2023-05-01,Kedah,1.8482456140350878
2023-06-01,Kedah,1.8570175438596495
2023-07-01,Kedah,1.8641604010025066
2023-08-01,Kedah,1.874310776942356
2023-09-01,Kedah,1.8825396825396823
2023-10-01,Kedah,1.889624467673248
2023-11-01,Kedah,1.893592721641502
2022-01-01,Kelantan,1.7662878787878786
2022-02-01,Kelantan,1.761931818181818
2022-03-01,Kelantan,1.7612878787878785
2022-04-01,Kelantan,1.7649983708048225
2022-05-01,Kelantan,1.7780981182795699
2022-06-01,Kelantan,1.794209229390681
2022-07-01,Kelantan,1.811881038647343
2022-08-01,Kelantan,1.8257432181345223
2022-09-01,Kelantan,1.8299098848011892
2022-10-01,Kelantan,1.8410982905982907
2022-11-01,Kelantan,1.8530089605734767
2022-12-01,Kelantan,1.8747682198327362
2023-01-01,Kelantan,1.8806571087216248
2023-02-01,Kelantan,1.8892592592592594
2023-03-01,Kelantan,1.883381642512077
2023-04-01,Kelantan,1.8951665124884365
2023-05-01,Kelantan,1.9156210579429818
2023-06-01,Kelantan,1.953478731670221
2023-07-01,Kelantan,1.9755827505827501
2023-08-01,Kelantan,1.9810541310541308
2023-09-01,Kelantan,1.9762037037037032
2023-10-01,Kelantan,1.985925925925926
2023-11-01,Kelantan,1.9967521367521368
2022-01-01,Melaka,1.765714285714286
2022-02-01,Melaka,1.7685714285714287
2022-03-01,Melaka,1.76952380952381
2022-04-01,Melaka,1.7684523809523809
2022-05-01,Melaka,1.773214285714286
2022-06-01,Melaka,1.7779761904761904
2022-07-01,Melaka,1.7849206349206348
2022-08-01,Melaka,1.7963492063492064
2022-09-01,Melaka,1.807777777777778
2022-10-01,Melaka,1.8175000000000001
2022-11-01,Melaka,1.8108333333333333
2022-12-01,Melaka,1.8041666666666665
2023-01-01,Melaka,1.809722222222222
2023-02-01,Melaka,1.820833333333333
2023-03-01,Melaka,1.8541666666666667
2023-04-01,Melaka,1.883333333333333
2023-05-01,Melaka,1.9255555555555555
2023-06-01,Melaka,1.9477777777777778
2023-07-01,Melaka,1.9505555555555556
2023-08-01,Melaka,1.9490740740740742
2023-09-01,Melaka,1.9316137566137568
2023-10-01,Melaka,1.9343915343915343
2023-11-01,Melaka,1.924206349206349
2022-01-01,Negeri Sembilan,1.7458333333333331
2022-02-01,Negeri Sembilan,1.7479166666666666
2022-03-01,Negeri Sembilan,1.7652777777777775
2022-04-01,Negeri Sembilan,1.8166666666666664
2022-05-01,Negeri Sembilan,1.883333333333333
2022-06-01,Negeri Sembilan,1.9166666666666667
2022-07-01,Negeri Sembilan,1.9166666666666667
2022-08-01,Negeri Sembilan,1.9
2022-09-01,Negeri Sembilan,1.9333333333333333
2022-10-01,Negeri Sembilan,1.9666666666666666
2022-11-01,Negeri Sembilan,2.0
2022-12-01,Negeri Sembilan,1.9833333333333334
2023-01-01,Negeri Sembilan,1.9633333333333332
2023-02-01,Negeri Sembilan,1.95
2023-03-01,Negeri Sembilan,1.9533333333333331
2023-04-01,Negeri Sembilan,1.9733333333333334
2023-05-01,Negeri Sembilan,1.9811111111111108
2023-06-01,Negeri Sembilan,1.9877777777777776
2023-07-01,Negeri Sembilan,1.9822222222222219
2023-08-01,Negeri Sembilan,1.9822222222222219
2023-09-01,Negeri Sembilan,1.9841269841269835
2023-10-01,Negeri Sembilan,1.9841269841269835
2023-11-01,Negeri Sembilan,2.0007936507936503
2022-01-01,Pahang,1.7506666666666666
2022-02-01,Pahang,1.7740833333333335
2022-03-01,Pahang,1.7820555555555557
2022-04-01,Pahang,1.8040555555555555
2022-05-01,Pahang,1.7715555555555556
2022-06-01,Pahang,1.7922222222222224
2022-07-01,Pahang,1.8009523809523813
2022-08-01,Pahang,1.83984126984127
2022-09-01,Pahang,1.8194246031746033
2022-10-01,Pahang,1.7884722222222222
2022-11-01,Pahang,1.77625
2022-12-01,Pahang,1.8016666666666667
2023-01-01,Pahang,1.836488095238095
2023-02-01,Pahang,1.8556547619047619
2023-03-01,Pahang,1.863988095238095
2023-04-01,Pahang,1.8791666666666667
2023-05-01,Pahang,1.8962962962962961
2023-06-01,Pahang,1.9033333333333333
2023-07-01,Pahang,1.9023333333333332
2023-08-01,Pahang,1.9296734006734007
2023-09-01,Pahang,1.9286363636363637
2023-10-01,Pahang,1.94130303030303
2023-11-01,Pahang,1.9502592592592591
2022-01-01,Perak,1.6957535121328229
2022-02-01,Perak,1.6812100893997448
2022-03-01,Perak,1.6969972024569726
2022-04-01,Perak,1.7177109440267333
2022-05-01,Perak,1.7612781954887218
2022-06-01,Perak,1.785845295055821
2022-07-01,Perak,1.81048644338118
2022-08-01,Perak,1.8271531100478466
2022-09-01,Perak,1.8586177565124933
2022-10-01,Perak,1.8821386800334168
2022-11-01,Perak,1.8956825396825396
2022-12-01,Perak,1.8880282186948856
2023-01-01,Perak,1.8747940917107584
2023-02-01,Perak,1.8801274250440916
