date,state,price
2022-01-01,Johor,2.6426351123472007
2022-02-01,Johor,2.6891120671074065
2022-03-01,Johor,2.7134635048219224
2022-04-01,Johor,2.7679740243557784
2022-05-01,Johor,2.825827168699273
2022-06-01,Johor,2.901953514388778
2022-07-01,Johor,2.986273433833999
2022-08-01,Johor,3.049454060618688
2022-09-01,Johor,3.096767472590749
2022-10-01,Johor,3.126609956186121
2022-11-01,Johor,3.1565498343847787
2022-12-01,Johor,3.1930559680362838
2023-01-01,Johor,3.228023375573707
2023-02-01,Johor,3.2506279297002423
2023-03-01,Johor,3.2546958346130084
2023-04-01,Johor,3.2710717239246585
2023-05-01,Johor,3.28843155636952
2023-06-01,Johor,3.318466262092565
2023-07-01,Johor,3.324801089767641
2023-08-01,Johor,3.3463319286023996
2023-09-01,Johor,3.3542775521009336
2023-10-01,Johor,3.3814966871273833
2023-11-01,Johor,3.3896337667580814
2022-01-01,Kedah,2.562809303069053
2022-02-01,Kedah,2.6125397247946
2022-03-01,Kedah,2.662433890603807
2022-04-01,Kedah,2.744750234686767
2022-05-01,Kedah,2.825435318121851
2022-06-01,Kedah,2.90953461866078
2022-07-01,Kedah,2.9809909905482663
2022-08-01,Kedah,3.053451969384245
2022-09-01,Kedah,3.093652422563228
2022-10-01,Kedah,3.15270153383245
2022-11-01,Kedah,3.180143211965692
2022-12-01,Kedah,3.198970773062594
2023-01-01,Kedah,3.1992023193195407
2023-02-01,Kedah,3.225064046759055
2023-03-01,Kedah,3.2379357572853706
2023-04-01,Kedah,3.272542153381011
2023-05-01,Kedah,3.2869986243514653
2023-06-01,Kedah,3.312518315766121
2023-07-01,Kedah,3.2964879346366707
2023-08-01,Kedah,3.262653596926608
2023-09-01,Kedah,3.236833241994184
2023-10-01,Kedah,3.236195927448364
2023-11-01,Kedah,3.244833128078818
2022-01-01,Kelantan,2.530069325064788
2022-02-01,Kelantan,2.599435780725928
2022-03-01,Kelantan,2.6428853128409395
2022-04-01,Kelantan,2.7349670643022286
2022-05-01,Kelantan,2.7942762339497875
2022-06-01,Kelantan,2.8689233267104064
