date,state,price
2022-01-01,Johor,4.992401469406607
2022-02-01,Johor,5.0180338175053905
2022-03-01,Johor,5.044238353886069
2022-04-01,Johor,5.084703080649023
2022-05-01,Johor,5.137642555837933
2022-06-01,Johor,5.167922566613707
2022-07-01,Johor,5.2349834776730875
2022-08-01,Johor,5.301653226328323
2022-09-01,Johor,5.373661869133254
2022-10-01,Johor,5.418261205693439
2022-11-01,Johor,5.393072814823976
2022-12-01,Johor,5.409773729077077
2023-01-01,Johor,5.439352399885614
2023-02-01,Johor,5.5291572590653075
2023-03-01,Johor,5.600034842199289
2023-04-01,Johor,5.605442693900301
2023-05-01,Johor,5.605559001963965
2023-06-01,Johor,5.605801562065274
2023-07-01,Johor,5.5984668337779375
2023-08-01,Johor,5.578577371512264
2023-09-01,Johor,5.5647241929853
2023-10-01,Johor,5.612465244370914
2023-11-01,Johor,5.711283650621417
2022-01-01,Kedah,4.687761882731209
2022-02-01,Kedah,4.737907911222823
2022-03-01,Kedah,4.7448302800919455
2022-04-01,Kedah,4.845173447167414
2022-05-01,Kedah,4.9470528637376
2022-06-01,Kedah,5.068357662368363
2022-07-01,Kedah,5.1176810545325875
2022-08-01,Kedah,5.150389119451188
2022-09-01,Kedah,5.166936915843491
2022-10-01,Kedah,5.1796950588366455
2022-11-01,Kedah,5.182434186072992
2022-12-01,Kedah,5.197636962743007
2023-01-01,Kedah,5.2240220583461285
2023-02-01,Kedah,5.256271437522838
2023-03-01,Kedah,5.292160951585429
2023-04-01,Kedah,5.332206580106505
2023-05-01,Kedah,5.370298522454512
2023-06-01,Kedah,5.403940650724723
2023-07-01,Kedah,5.417877427901099
2023-08-01,Kedah,5.430974871881102
2023-09-01,Kedah,5.419855973604946
2023-10-01,Kedah,5.4455202581010385
2023-11-01,Kedah,5.468264495043716
2022-01-01,Kelantan,4.9838507424021
2022-02-01,Kelantan,5.006623340086188
2022-03-01,Kelantan,5.067988635828648
2022-04-01,Kelantan,5.144154957128653
2022-05-01,Kelantan,5.255226779691768
2022-06-01,Kelantan,5.330951926758268
2022-07-01,Kelantan,5.43155916024638
2022-08-01,Kelantan,5.471161172220381
2022-09-01,Kelantan,5.512024204845997
