date,state,price
2022-01-01,Johor,4.725915328650256
2022-02-01,Johor,4.753914370774141
2022-03-01,Johor,4.766057065948815
2022-04-01,Johor,4.788424036260885
2022-05-01,Johor,4.8196375288954165
2022-06-01,Johor,4.886439959421167
2022-07-01,Johor,4.965175861399
2022-08-01,Johor,5.0587303633091025
2022-09-01,Johor,5.116513370735789
2022-10-01,Johor,5.195532394608944
2022-11-01,Johor,5.271792743950459
2022-12-01,Johor,5.369724050605396
2023-01-01,Johor,5.43828489975166
2023-02-01,Johor,5.465802478868241
2023-03-01,Johor,5.476145495533854
2023-04-01,Johor,5.475313540786324
2023-05-01,Johor,5.49448235372227
2023-06-01,Johor,5.514608477754671
2023-07-01,Johor,5.5433277590294265
2023-08-01,Johor,5.560160903581064
2023-09-01,Johor,5.5745064569806955
2023-10-01,Johor,5.700310115914264
2023-11-01,Johor,5.895513148544805
2022-01-01,Kedah,4.534601578731083
2022-02-01,Kedah,4.556668818089023
2022-03-01,Kedah,4.569631551783751
2022-04-01,Kedah,4.587160808616079
2022-05-01,Kedah,4.612584738917623
2022-06-01,Kedah,4.689022306948067
2022-07-01,Kedah,4.787575280786917
2022-08-01,Kedah,4.878193975608101
2022-09-01,Kedah,4.932291344433582
2022-10-01,Kedah,5.002882754305866
2022-11-01,Kedah,5.109762976556515
2022-12-01,Kedah,5.211058325691333
2023-01-01,Kedah,5.292198343769947
2023-02-01,Kedah,5.325023920970524
2023-03-01,Kedah,5.342906637021836
2023-04-01,Kedah,5.361437316287483
2023-05-01,Kedah,5.363440601504824
2023-06-01,Kedah,5.365013936396217
2023-07-01,Kedah,5.340772829993927
2023-08-01,Kedah,5.3327936768412
2023-09-01,Kedah,5.362841961820926
2023-10-01,Kedah,5.510930010455127
2023-11-01,Kedah,5.714112637136
2022-01-01,Kelantan,4.736167449403667
2022-02-01,Kelantan,4.705759137013539
2022-03-01,Kelantan,4.734153699354325
2022-04-01,Kelantan,4.736699691937349
2022-05-01,Kelantan,4.804531849738137
2022-06-01,Kelantan,4.893017880670296
2022-07-01,Kelantan,5.009173670024454
2022-08-01,Kelantan,5.099435378316373
2022-09-01,Kelantan,5.144993263351203
2022-10-01,Kelantan,5.2244458162562095
2022-11-01,Kelantan,5.331602510996514
2022-12-01,Kelantan,5.410717869996411
2023-01-01,Kelantan,5.454939032806441
2023-02-01,Kelantan,5.453426154674482
2023-03-01,Kelantan,5.489558998276702
2023-04-01,Kelantan,5.503946398126916
2023-05-01,Kelantan,5.509859166316502
2023-06-01,Kelantan,5.496363579398462
2023-07-01,Kelantan,5.512645795987311
2023-08-01,Kelantan,5.518495041710651
2023-09-01,Kelantan,5.530369749526873
2023-10-01,Kelantan,5.6672260526509435
2023-11-01,Kelantan,5.898272677376739
2022-01-01,Melaka,4.623455467720685
