date,state,price
2022-1,Johor,19.450948207410068
2022-2,Johor,15.053645569845767
2022-3,Johor,14.017082262134894
2022-4,Johor,16.612992823989735
2022-5,Johor,18.445727296330595
2022-6,Johor,21.338972386910207
2022-7,Johor,22.629085429383508
2022-8,Johor,20.41501279948672
2022-9,Johor,18.761917422593967
2022-10,Johor,19.563413501150226
2022-11,Johor,18.795707843833583
2022-12,Johor,16.595512734923073
2023-1,Johor,16.3219863291827
2023-2,Johor,15.918763649242
2023-3,Johor,15.25520829520637
2023-4,Johor,16.854425308856687
2023-5,Johor,16.003236704751227
2023-6,Johor,17.152180131175378
2023-7,Johor,16.72964427077592
2023-8,Johor,15.924697775773636
2023-9,Johor,15.394372328418248
2023-10,Johor,15.854320216573665
2023-11,Johor,17.55271184433763
2022-1,Kedah,20.7372077071649
2022-2,Kedah,17.62504688706033
2022-3,Kedah,16.40067360122322
2022-4,Kedah,17.9371567380895
2022-5,Kedah,19.65627217944536
2022-6,Kedah,23.22772263999912
2022-7,Kedah,24.490734813541422
2022-8,Kedah,22.97453796216541
2022-9,Kedah,21.32903209969386
2022-10,Kedah,21.41319401257581
2022-11,Kedah,20.641780259327472
2022-12,Kedah,19.026122984626973
2023-1,Kedah,19.161891152214867
2023-2,Kedah,18.229199977879595
2023-3,Kedah,18.450507136968124
2023-4,Kedah,19.82179912648053
2023-5,Kedah,19.41744317302913
2023-6,Kedah,19.89973069889635
2023-7,Kedah,19.71911550136788
2023-8,Kedah,18.773565658833856
2023-9,Kedah,18.182086342563352
2023-10,Kedah,18.234858106306486
2023-11,Kedah,19.184958976356192
2022-1,Kelantan,18.20862375025835
2022-2,Kelantan,15.291869475201363
2022-3,Kelantan,15.049465766559303
2022-4,Kelantan,19.251264575980002
2022-5,Kelantan,19.672548279364506
2022-6,Kelantan,22.957678412080316
2022-7,Kelantan,23.345726160928727
2022-8,Kelantan,21.495766800353586
2022-9,Kelantan,19.516492292659738
2022-10,Kelantan,20.19350965867489
2022-11,Kelantan,18.868998086156125
2022-12,Kelantan,17.171783436588722
2023-1,Kelantan,17.666975300133814
2023-2,Kelantan,16.870333212164756
2023-3,Kelantan,16.789929223796534
2023-4,Kelantan,18.241941954952907
2023-5,Kelantan,17.968265203025336
2023-6,Kelantan,18.663007898933714
2023-7,Kelantan,18.144527899126384
2023-8,Kelantan,17.248077972978926
2023-9,Kelantan,16.953222804906034
2023-10,Kelantan,16.787890989884477
2023-11,Kelantan,17.949917826253163
2022-1,Melaka,20.124555555555556
2022-2,Melaka,14.0123
2022-3,Melaka,13.544112903225807
2022-4,Melaka,16.75422839506173
2022-5,Melaka,18.108726666666666
2022-6,Melaka,21.557189655172415
2022-7,Melaka,23.414892857142856
2022-8,Melaka,20.161316091954024
2022-9,Melaka,18.3532183908046
2022-10,Melaka,17.557680272108843
2022-11,Melaka,17.55838888888889
2022-12,Melaka,15.697862068965517
2023-1,Melaka,15.441067901234568
2023-2,Melaka,14.69116049382716
2023-3,Melaka,15.510544444444443
2023-4,Melaka,16.68218476190476
2023-5,Melaka,16.593300595238095
2023-6,Melaka,16.873852040816328
2023-7,Melaka,16.54801984126984
2023-8,Melaka,15.598173469387756
2023-9,Melaka,13.715968253968253
2023-10,Melaka,13.712565343915344
2023-11,Melaka,16.58550206349206
2022-1,Negeri Sembilan,19.42922904180005
2022-2,Negeri Sembilan,16.09522320318141
2022-3,Negeri Sembilan,15.060521856036408
2022-4,Negeri Sembilan,18.32385966791107
2022-5,Negeri Sembilan,19.595596363949088
2022-6,Negeri Sembilan,22.79844149504932
2022-7,Negeri Sembilan,22.394752230571047
2022-8,Negeri Sembilan,19.819630737792192
2022-9,Negeri Sembilan,19.30350248213733
2022-10,Negeri Sembilan,19.29673972425892
2022-11,Negeri Sembilan,18.14031898488399
2022-12,Negeri Sembilan,16.412250690074192
2023-1,Negeri Sembilan,17.046236133751158
2023-2,Negeri Sembilan,15.510225508810649
2023-3,Negeri Sembilan,15.558960297284525
2023-4,Negeri Sembilan,16.97679042183195
2023-5,Negeri Sembilan,16.240494368510962
2023-6,Negeri Sembilan,17.302301585466722
2023-7,Negeri Sembilan,16.97493426453851
2023-8,Negeri Sembilan,15.590426848195124
2023-9,Negeri Sembilan,15.327919010220308
2023-10,Negeri Sembilan,15.075578637055452
2023-11,Negeri Sembilan,16.09271835613357
2022-1,Pahang,18.682287540777825
2022-2,Pahang,15.49990147600752
2022-3,Pahang,14.794001434027578
2022-4,Pahang,20.82474460649314
2022-5,Pahang,21.226245176345348
2022-6,Pahang,24.151320977758672
2022-7,Pahang,23.745478747747253
2022-8,Pahang,21.69240186017385
2022-9,Pahang,19.834969440527292
2022-10,Pahang,20.96565017957974
