date,state,price
2022-1,Johor,43.1988547626643
2022-2,Johor,44.318978957650536
2022-3,Johor,46.96947087039494
2022-4,Johor,47.02984512705661
2022-5,Johor,49.38206694182515
2022-6,Johor,50.45479845494924
2022-7,Johor,48.85239466805806
2022-8,Johor,49.56459492085858
2022-9,Johor,50.11385199022254
2022-10,Johor,50.059368568888445
2022-11,Johor,48.9636015278203
2022-12,Johor,48.41356287460103
2023-1,Johor,51.07037757194646
2023-2,Johor,50.209134047490345
2023-3,Johor,50.89352375571043
2023-4,Johor,51.9002009883306
2023-5,Johor,50.30627732269809
2023-6,Johor,50.012646421726586
2023-7,Johor,49.74980400739479
2023-8,Johor,49.84289071442992
2023-9,Johor,47.19211059768621
2023-10,Johor,46.728319359654144
2023-11,Johor,48.64895618306478
2022-1,Kedah,42.1089149624322
2022-2,Kedah,41.92225757575758
2022-3,Kedah,41.77402087542088
2022-4,Kedah,42.47950508303956
2022-5,Kedah,43.463609487220594
2022-6,Kedah,45.92196410533911
2022-7,Kedah,48.082264235764235
2022-8,Kedah,48.19115373515373
2022-9,Kedah,47.01682925209711
2022-10,Kedah,48.034831134382856
2022-11,Kedah,47.47907163349471
2022-12,Kedah,48.45527934842935
2023-1,Kedah,47.80304981751964
2023-2,Kedah,45.40655033300033
2023-3,Kedah,46.524112044736306
2023-4,Kedah,45.80615519482403
2023-5,Kedah,45.20372117118992
2023-6,Kedah,45.20756430161718
2023-7,Kedah,44.93130234420752
2023-8,Kedah,44.76053897799731
2023-9,Kedah,45.03016308736652
2023-10,Kedah,43.95210659090222
2023-11,Kedah,44.33818412127386
2022-1,Kelantan,45.23982619047619
2022-2,Kelantan,44.85202
2022-3,Kelantan,46.74677956989247
2022-4,Kelantan,46.397574712643674
2022-5,Kelantan,47.51425641025641
2022-6,Kelantan,49.68022988505747
2022-7,Kelantan,48.94819285714286
2022-8,Kelantan,49.796488888888895
2022-9,Kelantan,51.487442528735635
2022-10,Kelantan,50.38308045977011
2022-11,Kelantan,51.32598550724638
2022-12,Kelantan,50.94748333333334
2023-1,Kelantan,53.56374712643679
2023-2,Kelantan,47.54696737213404
2023-3,Kelantan,50.44614592933948
2023-4,Kelantan,47.74865458937198
2023-5,Kelantan,51.791875000000005
2023-6,Kelantan,47.1374532967033
2023-7,Kelantan,49.26178015873016
2023-8,Kelantan,50.36794885361552
2023-9,Kelantan,46.03720634920635
2023-10,Kelantan,46.101513136289
2023-11,Kelantan,47.33596611721612
2022-1,Melaka,47.554609523809525
2022-2,Melaka,45.763506349206345
2022-3,Melaka,48.742040194572446
2022-4,Melaka,49.69925146972369
2022-5,Melaka,52.94032761904762
2022-6,Melaka,50.151978442056034
2022-7,Melaka,48.47544403393542
2022-8,Melaka,49.708901340996164
2022-9,Melaka,47.84394170771757
2022-10,Melaka,50.15989583333334
2022-11,Melaka,50.415214873603766
2022-12,Melaka,52.18007512315271
2023-1,Melaka,54.25550220458554
2023-2,Melaka,51.418601704879485
2023-3,Melaka,48.48123161375661
2023-4,Melaka,50.217534761904766
2023-5,Melaka,48.74213425925927
2023-6,Melaka,48.32983163265306
2023-7,Melaka,47.09913849206349
2023-8,Melaka,46.289878684807256
2023-9,Melaka,44.42310861258083
2023-10,Melaka,43.77587385762386
2023-11,Melaka,47.132710793650794
2022-1,Negeri Sembilan,44.79544888961257
2022-2,Negeri Sembilan,44.80695395568484
2022-3,Negeri Sembilan,44.265628118613414
2022-4,Negeri Sembilan,45.521659922185655
2022-5,Negeri Sembilan,46.184013243423244
2022-6,Negeri Sembilan,47.82615844010621
2022-7,Negeri Sembilan,47.255105272600964
2022-8,Negeri Sembilan,46.20210160272734
2022-9,Negeri Sembilan,47.247516502767006
2022-10,Negeri Sembilan,48.058821881637265
2022-11,Negeri Sembilan,47.613557418283726
2022-12,Negeri Sembilan,48.24783785332315
2023-1,Negeri Sembilan,49.508071572357416
2023-2,Negeri Sembilan,47.36274122141547
2023-3,Negeri Sembilan,49.41800661588043
2023-4,Negeri Sembilan,48.54208384300466
2023-5,Negeri Sembilan,47.193724433708276
2023-6,Negeri Sembilan,47.271326343678496
2023-7,Negeri Sembilan,44.883537819016496
2023-8,Negeri Sembilan,43.83262417091502
2023-9,Negeri Sembilan,42.87081486193036
2023-10,Negeri Sembilan,43.97802815760807
2023-11,Negeri Sembilan,42.745908954628106
2022-1,Pahang,38.785404024026086
2022-2,Pahang,40.016934123654124
2022-3,Pahang,40.69324045846627
2022-4,Pahang,41.176894789118926
2022-5,Pahang,41.83523986520726
2022-6,Pahang,43.42241448408051
2022-7,Pahang,43.73940547718463
2022-8,Pahang,44.042772159156506
2022-9,Pahang,43.67398258777266
2022-10,Pahang,43.414059577696044
2022-11,Pahang,43.42594467649224
2022-12,Pahang,43.203001223938045
2023-1,Pahang,44.0174199086215
2023-2,Pahang,43.30280037429349
2023-3,Pahang,43.34427677174577
2023-4,Pahang,43.34479721409818
2023-5,Pahang,42.904116052586176
2023-6,Pahang,42.19811135049675
2023-7,Pahang,41.75628956875376
2023-8,Pahang,42.13091354320494
2023-9,Pahang,42.21972167397743
2023-10,Pahang,42.555108379470774
2023-11,Pahang,41.75230836083367
2022-1,Perak,44.00394850279082
2022-2,Perak,43.710480131703164
2022-3,Perak,44.04993392397077
2022-4,Perak,45.575965992540056
2022-5,Perak,46.34338595208084
2022-6,Perak,47.6295128944936
2022-7,Perak,47.8428048439604
2022-8,Perak,47.96637300699445
2022-9,Perak,48.665969080071086
2022-10,Perak,48.4116747952145
2022-11,Perak,49.68484484631704
2022-12,Perak,49.04587887978077
2023-1,Perak,49.963542061069305
2023-2,Perak,49.18397890499744
2023-3,Perak,49.40455322412955
2023-4,Perak,49.57439762697375
2023-5,Perak,49.300964775914736
2023-6,Perak,49.441128553295364
2023-7,Perak,47.95239477329766
2023-8,Perak,47.156544445211814
2023-9,Perak,45.52711065761908
2023-10,Perak,45.19622546399581
2023-11,Perak,45.68526308171843
2022-1,Perlis,50.28861111111111
2022-2,Perlis,49.79166666666667
2022-3,Perlis,50.89277777777777
2022-4,Perlis,51.063793103448276
2022-5,Perlis,50.80652173913043
2022-6,Perlis,48.763580246913584
2022-7,Perlis,49.52727272727273
2022-8,Perlis,49.429310344827584
2022-9,Perlis,51.425172413793106
2022-10,Perlis,50.82901234567902
2022-11,Perlis,50.82037037037038
2022-12,Perlis,50.5632183908046
2023-1,Perlis,51.79136904761905
2023-2,Perlis,50.98205128205128
2023-3,Perlis,51.77258064516129
2023-4,Perlis,51.3918
2023-5,Perlis,51.39782608695653
2023-6,Perlis,51.058181818181815
2023-7,Perlis,50.74820987654321
2023-8,Perlis,49.30809523809524
2023-9,Perlis,48.754382716049385
2023-10,Perlis,51.092888888888886
2023-11,Perlis,49.212399999999995
2022-1,Pulau Pinang,48.55240266011938
2022-2,Pulau Pinang,48.67035503385503
2022-3,Pulau Pinang,50.95046593449772
2022-4,Pulau Pinang,50.728939663306036
2022-5,Pulau Pinang,50.674934835262775
2022-6,Pulau Pinang,51.89502842846809
2022-7,Pulau Pinang,51.50697874774798
2022-8,Pulau Pinang,54.358816846116845
2022-9,Pulau Pinang,54.32585805911465
2022-10,Pulau Pinang,55.500886191189764
2022-11,Pulau Pinang,54.38774685088574
2022-12,Pulau Pinang,56.38415295528226
2023-1,Pulau Pinang,56.614597440111325
2023-2,Pulau Pinang,56.44173874981743
2023-3,Pulau Pinang,55.042509983743855
2023-4,Pulau Pinang,55.29444574055803
2023-5,Pulau Pinang,56.43430577792986
2023-6,Pulau Pinang,55.866346693434465
2023-7,Pulau Pinang,56.46349859209879
2023-8,Pulau Pinang,54.29785188699299
2023-9,Pulau Pinang,52.5816227222409
2023-10,Pulau Pinang,52.27709922494968
2023-11,Pulau Pinang,51.496378244372465
2022-1,Sabah,34.54545454545455
2022-2,Sabah,34.10981481481482
2022-3,Sabah,31.85282795698925
2022-4,Sabah,34.5745652173913
2022-5,Sabah,33.26076923076923
2022-6,Sabah,35.3048
2022-7,Sabah,34.564166666666665
2022-8,Sabah,35.083333333333336
2022-9,Sabah,34.41666666666667
2022-10,Sabah,35.67695652173913
2022-11,Sabah,32.627884615384616
2022-12,Sabah,36.28846153846154
2023-1,Sabah,34.68115942028985
2023-2,Sabah,38.333333333333336
2023-3,Sabah,38.30434782608695
2023-4,Sabah,38.78
2023-5,Sabah,37.526315789473685
2023-6,Sabah,36.24074074074074
2023-7,Sabah,35.65
2023-8,Sabah,38.94
2023-9,Sabah,38.42
2023-10,Sabah,37.78551724137931
2023-11,Sabah,38.15217391304348
2022-1,Sarawak,35.992839506172835
2022-2,Sarawak,36.804833333333335
2022-3,Sarawak,40.49877956989248
2022-4,Sarawak,38.77640229885058
2022-5,Sarawak,35.453518518518514
2022-6,Sarawak,36.588142857142856
2022-7,Sarawak,33.80380864197531
2022-8,Sarawak,33.884433333333334
2022-9,Sarawak,39.565781609195405
2022-10,Sarawak,40.429916666666664
2022-11,Sarawak,36.778131944444446
2022-12,Sarawak,37.03349574829932
2023-1,Sarawak,37.91750549450549
2023-2,Sarawak,40.54730511463845
2023-3,Sarawak,35.948145929339475
2023-4,Sarawak,40.0029819047619
2023-5,Sarawak,36.30947916666667
2023-6,Sarawak,38.15915523809524
2023-7,Sarawak,39.14201642036125
2023-8,Sarawak,38.088048440065684
2023-9,Sarawak,39.84241534391535
2023-10,Sarawak,39.63758251231527
2023-11,Sarawak,37.9882032627866
2022-1,Selangor,46.17427231732057
2022-2,Selangor,46.31187230717637
2022-3,Selangor,46.41880478549577
2022-4,Selangor,46.88509659989027
2022-5,Selangor,47.756437136219574
2022-6,Selangor,47.96367670028185
2022-7,Selangor,47.80373703100778
2022-8,Selangor,47.89756240405792
2022-9,Selangor,48.018489450418734
2022-10,Selangor,48.12647401407619
2022-11,Selangor,48.824520052288385
2022-12,Selangor,50.08412427504986
2023-1,Selangor,50.19694276792083
2023-2,Selangor,49.50627007075774
2023-3,Selangor,49.79369403478616
2023-4,Selangor,49.71500602333012
2023-5,Selangor,49.4532407650323
2023-6,Selangor,49.68323086255798
2023-7,Selangor,49.38268443984701
2023-8,Selangor,50.87169812867121
2023-9,Selangor,47.49886568406169
2023-10,Selangor,47.20145426101163
2023-11,Selangor,46.52791899932843
2022-1,Terengganu,47.88973333333333
2022-2,Terengganu,44.75366666666667
2022-3,Terengganu,46.90439655172413
2022-4,Terengganu,47.7797219387755
2022-5,Terengganu,48.749878205128205
2022-6,Terengganu,49.37227011494253
2022-7,Terengganu,49.30642666666667
2022-8,Terengganu,49.00951666666666
2022-9,Terengganu,47.567434523809524
2022-10,Terengganu,49.321017241379316
2022-11,Terengganu,47.57649358974359
2022-12,Terengganu,50.653888888888886
2023-1,Terengganu,48.7490697865353
2023-2,Terengganu,47.0514
2023-3,Terengganu,49.543686371100165
2023-4,Terengganu,48.89054140786749
2023-5,Terengganu,47.37991666666667
2023-6,Terengganu,48.67641300366301
2023-7,Terengganu,47.301246560846565
2023-8,Terengganu,44.05763271604938
2023-9,Terengganu,44.05987637362637
2023-10,Terengganu,47.003122222222224
2023-11,Terengganu,46.03289377289377
2022-1,W.P. Kuala Lumpur,54.98837052764365
2022-2,W.P. Kuala Lumpur,54.97729320186077
2022-3,W.P. Kuala Lumpur,54.48183895404374
2022-4,W.P. Kuala Lumpur,55.39572144856477
2022-5,W.P. Kuala Lumpur,58.388667246953425
2022-6,W.P. Kuala Lumpur,57.81196015954896
2022-7,W.P. Kuala Lumpur,58.352132649884076
2022-8,W.P. Kuala Lumpur,58.36757412693409
2022-9,W.P. Kuala Lumpur,59.00879826061226
2022-10,W.P. Kuala Lumpur,60.44293052585448
2022-11,W.P. Kuala Lumpur,61.075333397091796
2022-12,W.P. Kuala Lumpur,60.494414754838765
2023-1,W.P. Kuala Lumpur,61.167990150705634
2023-2,W.P. Kuala Lumpur,62.186246843494644
2023-3,W.P. Kuala Lumpur,63.12884042358397
2023-4,W.P. Kuala Lumpur,62.546193604913626
2023-5,W.P. Kuala Lumpur,63.110988866049134
2023-6,W.P. Kuala Lumpur,62.09924830370071
2023-7,W.P. Kuala Lumpur,60.00699751356158
2023-8,W.P. Kuala Lumpur,59.90310081126118
2023-9,W.P. Kuala Lumpur,59.14370323326636
2023-10,W.P. Kuala Lumpur,57.828852325231914
2023-11,W.P. Kuala Lumpur,57.16846313831615
2022-5,W.P. Labuan,33.125
2022-6,W.P. Labuan,32.0
2023-5,W.P. Labuan,32.666666666666664
2023-6,W.P. Labuan,35.0
2023-7,W.P. Labuan,35.0
2022-1,W.P. Putrajaya,49.41737684729064
2022-2,W.P. Putrajaya,49.9371980952381
2022-3,W.P. Putrajaya,50.78809216589862
2022-4,W.P. Putrajaya,50.25903694581281
2022-5,W.P. Putrajaya,52.707498095238094
2022-6,W.P. Putrajaya,54.22497947454844
2022-7,W.P. Putrajaya,55.01893367346939
2022-8,W.P. Putrajaya,53.30717222222222
2022-9,W.P. Putrajaya,55.049295566502465
2022-10,W.P. Putrajaya,54.058018707482994
2022-11,W.P. Putrajaya,54.9716860670194
2022-12,W.P. Putrajaya,53.31288998357964
2023-1,W.P. Putrajaya,54.71186507936508
2023-2,W.P. Putrajaya,53.85031349206349
2023-3,W.P. Putrajaya,54.893909370199694
2023-4,W.P. Putrajaya,53.60154761904762
2023-5,W.P. Putrajaya,53.092234126984124
2023-6,W.P. Putrajaya,53.52173724489796
2023-7,W.P. Putrajaya,53.088190476190476
2023-8,W.P. Putrajaya,52.94072249589491
2023-9,W.P. Putrajaya,50.91250220458554
2023-10,W.P. Putrajaya,51.45924801587302
2023-11,W.P. Putrajaya,52.61869619047619
