date,state,price
2022-1,Johor,18.064717279416207
2022-2,Johor,17.63431234943009
2022-3,Johor,17.656443395885372
2022-4,Johor,17.882426547432523
2022-5,Johor,17.104800463217444
2022-6,Johor,18.78501968909712
2022-7,Johor,18.23031918203117
2022-8,Johor,18.247803600206854
2022-9,Johor,17.743462067116592
2022-10,Johor,17.109797080453514
2022-11,Johor,17.581301718568938
2022-12,Johor,18.218392527003875
2023-1,Johor,18.464688011342677
2023-2,Johor,18.434909045696024
2023-3,Johor,19.171207781843577
2023-4,Johor,16.960874356461378
2023-5,Johor,18.49466532660274
2023-6,Johor,19.149561416392686
2023-7,Johor,18.552423734264636
2023-8,Johor,18.562602395521797
2023-9,Johor,18.333174562921997
2023-10,Johor,17.22977294730274
2023-11,Johor,16.745987375231586
2022-1,Kedah,13.717857410216766
2022-2,Kedah,14.81883864421213
2022-3,Kedah,15.43702117937095
2022-4,Kedah,14.771246953471316
2022-5,Kedah,14.871480729099515
2022-6,Kedah,14.491899360641012
2022-7,Kedah,14.398447386174443
2022-8,Kedah,14.36592196195331
2022-9,Kedah,14.969779041401196
2022-10,Kedah,15.583294536184162
2022-11,Kedah,15.71400182816608
2022-12,Kedah,15.199206484143364
2023-1,Kedah,14.739914193472702
2023-2,Kedah,14.823182605104472
2023-3,Kedah,15.376964796498077
2023-4,Kedah,15.602880098743771
2023-5,Kedah,16.237330706534753
2023-6,Kedah,15.83508602306706
2023-7,Kedah,15.422042589146972
2023-8,Kedah,15.987234993002959
2023-9,Kedah,15.583948603373655
2023-10,Kedah,15.282602771430211
2023-11,Kedah,15.51433078432245
2022-1,Kelantan,17.86673788569401
2022-2,Kelantan,17.56665886322631
2022-3,Kelantan,18.116964950786276
2022-4,Kelantan,16.998775815448077
2022-5,Kelantan,17.4296102271938
2022-6,Kelantan,17.98939408627416
2022-7,Kelantan,17.755654254903995
2022-8,Kelantan,17.73922528360645
2022-9,Kelantan,17.044697874791478
2022-10,Kelantan,16.881078618541984
2022-11,Kelantan,17.69156876632102
2022-12,Kelantan,18.515748058187732
2023-1,Kelantan,19.063846484246838
2023-2,Kelantan,18.410780690181525
2023-3,Kelantan,18.88190051254814
