date,state,price
2022-1,Johor,13.773258406065956
2022-2,Johor,14.05221119124338
2022-3,Johor,13.841411308802037
2022-4,Johor,14.083658742473746
2022-5,Johor,14.286843000472519
2022-6,Johor,14.658175215247262
2022-7,Johor,15.253749233100164
2022-8,Johor,15.203162971541207
2022-9,Johor,15.621751985111937
2022-10,Johor,15.63377809926966
2022-11,Johor,15.664756590965174
2022-12,Johor,15.738599498363131
2023-1,Johor,15.630550121786088
2023-2,Johor,16.054051384764975
2023-3,Johor,16.02229966258763
2023-4,Johor,16.08584602858105
2023-5,Johor,16.329801756149642
2023-6,Johor,15.929110254420124
2023-7,Johor,15.517284832339923
2023-8,Johor,15.120803116613871
2023-9,Johor,14.916402696482871
2023-10,Johor,14.617932596422287
2023-11,Johor,14.708803121356471
2022-1,Kedah,13.323456451724347
2022-2,Kedah,13.539272178724657
2022-3,Kedah,13.48436734094174
2022-4,Kedah,13.807258660986209
2022-5,Kedah,13.84092041993612
2022-6,Kedah,13.954989013058936
2022-7,Kedah,14.338111583031075
2022-8,Kedah,14.224665652910975
2022-9,Kedah,14.520506876463227
2022-10,Kedah,14.725979361338926
2022-11,Kedah,14.760804461813557
2022-12,Kedah,14.853957614120585
2023-1,Kedah,14.903431260129791
2023-2,Kedah,14.744154226225682
2023-3,Kedah,14.751838331751953
2023-4,Kedah,14.824407049852915
2023-5,Kedah,15.040676830454403
2023-6,Kedah,15.065068307079915
2023-7,Kedah,14.952289275097451
2023-8,Kedah,14.88511906541744
2023-9,Kedah,14.726261507071966
2023-10,Kedah,14.627990243335159
2023-11,Kedah,14.487036956580239
2022-1,Kelantan,13.386218239708375
2022-2,Kelantan,13.80447131463394
2022-3,Kelantan,13.78715670891946
2022-4,Kelantan,14.672256648401046
2022-5,Kelantan,14.79928047965902
2022-6,Kelantan,14.955699149862053
2022-7,Kelantan,15.161102846062526
2022-8,Kelantan,14.669842792140551
2022-9,Kelantan,14.935916335755085
2022-10,Kelantan,14.881352592472625
2022-11,Kelantan,14.907919447803685
2022-12,Kelantan,15.007471288178676
2023-1,Kelantan,15.264377124477589
2023-2,Kelantan,15.281491942082742
2023-3,Kelantan,15.609210644115297
2023-4,Kelantan,15.857507971978238
2023-5,Kelantan,15.668290974067714
2023-6,Kelantan,15.472411280331821
2023-7,Kelantan,15.483659833519452
2023-8,Kelantan,15.340445940924614
2023-9,Kelantan,15.197203932254302
2023-10,Kelantan,15.012222665861247
2023-11,Kelantan,14.927752802216714
2022-1,Melaka,13.757088095238094
2022-2,Melaka,13.73255238095238
2022-3,Melaka,14.014173963133642
2022-4,Melaka,14.090914168136392
2022-5,Melaka,13.778339047619047
2022-6,Melaka,14.411176207891724
2022-7,Melaka,14.518344143404489
2022-8,Melaka,15.102913973957078
2022-9,Melaka,14.99872614071752
2022-10,Melaka,15.157729437229436
2022-11,Melaka,15.310675177702956
2022-12,Melaka,15.437411267850923
2023-1,Melaka,15.322699414782747
2023-2,Melaka,15.61464693228582
2023-3,Melaka,15.785986664261664
2023-4,Melaka,16.022088903318902
2023-5,Melaka,15.744264490139491
2023-6,Melaka,15.221168019480519
2023-7,Melaka,15.056260101010103
2023-8,Melaka,14.65936922799423
2023-9,Melaka,14.242716049382716
2023-10,Melaka,14.501794312169313
2023-11,Melaka,14.165414920634921
2022-1,Negeri Sembilan,14.09161882980662
2022-2,Negeri Sembilan,13.974427829743355
2022-3,Negeri Sembilan,13.852707704399629
2022-4,Negeri Sembilan,14.202846591321848
2022-5,Negeri Sembilan,14.693638053468794
2022-6,Negeri Sembilan,15.152720143526805
2022-7,Negeri Sembilan,15.837776540678165
2022-8,Negeri Sembilan,15.688780339655185
2022-9,Negeri Sembilan,15.98218980702879
2022-10,Negeri Sembilan,15.960468878835078
2022-11,Negeri Sembilan,16.242016166133297
2022-12,Negeri Sembilan,16.131597413784565
2023-1,Negeri Sembilan,16.51115083341857
2023-2,Negeri Sembilan,16.680910173550675
2023-3,Negeri Sembilan,16.094095290448912
2023-4,Negeri Sembilan,16.02685012044909
2023-5,Negeri Sembilan,16.084083040419724
2023-6,Negeri Sembilan,15.533027635895735
2023-7,Negeri Sembilan,15.42536268477793
2023-8,Negeri Sembilan,14.998060023858015
2023-9,Negeri Sembilan,14.721718158383787
2023-10,Negeri Sembilan,14.379682906541717
2023-11,Negeri Sembilan,14.057379886649896
2022-1,Pahang,13.576341034448529
2022-2,Pahang,13.794694889600844
2022-3,Pahang,14.065766071481292
2022-4,Pahang,14.41082807971003
2022-5,Pahang,14.544182180360798
2022-6,Pahang,14.856616353308743
2022-7,Pahang,15.432479243218447
2022-8,Pahang,15.565203210280542
2022-9,Pahang,15.658176205148425
2022-10,Pahang,15.494609063076933
2022-11,Pahang,15.966925474486104
2022-12,Pahang,15.884985512696316
2023-1,Pahang,16.17537346126658
2023-2,Pahang,16.204632548620346
2023-3,Pahang,16.423825808735472
2023-4,Pahang,16.500412640801716
2023-5,Pahang,16.395163841826115
2023-6,Pahang,16.301966360774394
2023-7,Pahang,16.130945438208474
2023-8,Pahang,16.112482153765363
2023-9,Pahang,16.108365003502488
2023-10,Pahang,15.843360889840728
2023-11,Pahang,15.671306967506222
2022-1,Perak,14.152456054131692
2022-2,Perak,13.973595007722379
2022-3,Perak,14.29039848007324
2022-4,Perak,14.594667082466579
2022-5,Perak,14.5274172682692
2022-6,Perak,15.03060215901476
2022-7,Perak,15.619868554028189
2022-8,Perak,15.62997551238389
2022-9,Perak,15.908134700462139
2022-10,Perak,15.720707127084777
2022-11,Perak,15.942835669247396
2022-12,Perak,15.736297386783402
2023-1,Perak,16.222000593369234
2023-2,Perak,16.123655273920416
2023-3,Perak,16.263987958813708
2023-4,Perak,16.260007066350333
2023-5,Perak,16.214947411414027
2023-6,Perak,16.182342485108062
2023-7,Perak,16.08027311433762
2023-8,Perak,15.973922463406678
2023-9,Perak,15.831284535071463
2023-10,Perak,15.72121789543985
2023-11,Perak,15.496741132107333
2022-1,Perlis,13.738894047619048
2022-2,Perlis,13.927985805860807
2022-3,Perlis,13.677904761904761
2022-4,Perlis,14.166839901477832
2022-5,Perlis,14.763312629399586
2022-6,Perlis,14.164803503010399
2022-7,Perlis,14.319399470899471
2022-8,Perlis,15.191432275132275
2022-9,Perlis,15.195060618500273
2022-10,Perlis,15.050876984126985
2022-11,Perlis,14.786218694885362
2022-12,Perlis,14.951930487137384
2023-1,Perlis,14.962314200680272
2023-2,Perlis,14.66160241147741
2023-3,Perlis,14.76921812596006
2023-4,Perlis,15.287199206349205
2023-5,Perlis,14.84152795031056
2023-6,Perlis,14.474101410934745
2023-7,Perlis,14.429185317460318
2023-8,Perlis,14.211656814449919
2023-9,Perlis,13.797219429747209
2023-10,Perlis,13.583983597883597
2023-11,Perlis,13.49805873015873
2022-1,Pulau Pinang,14.57049208845435
2022-2,Pulau Pinang,14.672289893127168
2022-3,Pulau Pinang,14.328984396723099
2022-4,Pulau Pinang,14.714068686987742
2022-5,Pulau Pinang,14.554997255525691
2022-6,Pulau Pinang,14.674452731402022
2022-7,Pulau Pinang,15.11620005848852
2022-8,Pulau Pinang,15.06008229137277
2022-9,Pulau Pinang,15.544065450185379
2022-10,Pulau Pinang,15.9058567192059
2022-11,Pulau Pinang,16.032677481193907
2022-12,Pulau Pinang,15.948407469188522
2023-1,Pulau Pinang,16.112237746051527
2023-2,Pulau Pinang,16.28155050321883
2023-3,Pulau Pinang,16.12023859857632
2023-4,Pulau Pinang,16.305742058747924
2023-5,Pulau Pinang,16.562290820306696
2023-6,Pulau Pinang,16.567429044504564
2023-7,Pulau Pinang,16.314018733589926
2023-8,Pulau Pinang,16.309699856957206
2023-9,Pulau Pinang,16.148416331222947
2023-10,Pulau Pinang,16.055165363933938
2023-11,Pulau Pinang,15.474205380814576
2022-1,Sabah,15.520724074074074
2022-2,Sabah,15.136703703703702
2022-3,Sabah,15.742883415435138
