date,state,price
2022-1,Johor,6.689183134412954
2022-2,Johor,6.437684592130064
2022-3,Johor,6.351200701858394
2022-4,Johor,6.195674094435935
2022-5,Johor,6.010869978457851
2022-6,Johor,6.347449029741316
2022-7,Johor,6.476520771155605
2022-8,Johor,6.446503945643187
2022-9,Johor,6.584527713623867
2022-10,Johor,6.575534817625444
2022-11,Johor,6.592681965986858
2022-12,Johor,6.879290510479274
2023-1,Johor,6.739237151948669
2023-2,Johor,6.741395810933014
2023-3,Johor,6.319475303040668
2023-4,Johor,6.1779161258409045
2023-5,Johor,6.458912287375745
2023-6,Johor,6.588194752357734
2023-7,Johor,6.546692027575312
2023-8,Johor,6.5691336000666825
2023-9,Johor,6.284553109970985
2023-10,Johor,6.276021873235899
2023-11,Johor,6.264255166849679
2022-1,Kedah,7.4155878489326765
2022-2,Kedah,7.126465396825397
2022-3,Kedah,6.739615608465609
2022-4,Kedah,6.73989367816092
2022-5,Kedah,6.791395061728395
2022-6,Kedah,6.625528486394558
2022-7,Kedah,7.03371981292517
2022-8,Kedah,6.445428571428571
2022-9,Kedah,6.8185310374149655
2022-10,Kedah,6.663686781609195
2022-11,Kedah,6.824588175713176
2022-12,Kedah,6.950580687830689
2023-1,Kedah,6.947145730706076
2023-2,Kedah,6.87702253968254
2023-3,Kedah,6.6148436507936506
2023-4,Kedah,6.7662418276168275
2023-5,Kedah,7.061072420634921
2023-6,Kedah,6.971630952380953
2023-7,Kedah,6.353786124794746
2023-8,Kedah,6.791396825396826
2023-9,Kedah,6.677891534391534
2023-10,Kedah,7.019519215969216
2023-11,Kedah,6.959957417582418
2022-1,Kelantan,6.170575736239166
2022-2,Kelantan,6.181620313124574
2022-3,Kelantan,5.610695957394636
2022-4,Kelantan,5.691687517243489
2022-5,Kelantan,5.6882281140520865
2022-6,Kelantan,5.981606020621966
2022-7,Kelantan,6.065521114443177
2022-8,Kelantan,5.943651826808075
2022-9,Kelantan,6.147341877595417
2022-10,Kelantan,6.0652984130404
2022-11,Kelantan,6.000338396516701
2022-12,Kelantan,5.99974440287811
2023-1,Kelantan,6.1466109593287985
2023-2,Kelantan,6.053379496269762
2023-3,Kelantan,5.774404180315637
2023-4,Kelantan,5.520498491371163
2023-5,Kelantan,5.525480428524067
2023-6,Kelantan,5.786582248762589
2023-7,Kelantan,5.7064838009538
2023-8,Kelantan,5.598870840260823
2023-9,Kelantan,5.601777405812139
2023-10,Kelantan,5.737745540678055
2023-11,Kelantan,5.797977466469457
2022-1,Melaka,5.646722222222222
2022-2,Melaka,5.4070800000000006
2022-3,Melaka,4.9667311827957
2022-4,Melaka,4.418580246913581
2022-5,Melaka,4.093866666666667
2022-6,Melaka,4.7363103448275865
2022-7,Melaka,4.7671190476190475
2022-8,Melaka,4.787034482758621
2022-9,Melaka,5.02804433497537
2022-10,Melaka,5.043030187074829
2022-11,Melaka,4.704104938271605
2022-12,Melaka,4.987954844006568
2023-1,Melaka,4.902665784832451
2023-2,Melaka,5.129216049382716
2023-3,Melaka,4.641201190476191
2023-4,Melaka,4.475074285714286
2023-5,Melaka,4.57959126984127
2023-6,Melaka,4.692485544217687
2023-7,Melaka,4.73590873015873
2023-8,Melaka,4.803732142857143
2023-9,Melaka,4.544782186948854
2023-10,Melaka,4.316283333333333
2023-11,Melaka,4.489873333333334
2022-1,Negeri Sembilan,5.311691147932527
2022-2,Negeri Sembilan,5.166125512265512
2022-3,Negeri Sembilan,4.912998953823954
2022-4,Negeri Sembilan,4.6626709595959595
2022-5,Negeri Sembilan,4.480995616605616
2022-6,Negeri Sembilan,5.2316705354032935
2022-7,Negeri Sembilan,5.367899487485695
2022-8,Negeri Sembilan,5.372252994227994
2022-9,Negeri Sembilan,5.634640120415982
2022-10,Negeri Sembilan,5.351838345186559
2022-11,Negeri Sembilan,5.601505237560793
2022-12,Negeri Sembilan,5.603266843309947
2023-1,Negeri Sembilan,5.832032661782662
2023-2,Negeri Sembilan,5.449759935666186
2023-3,Negeri Sembilan,5.110033829074152
2023-4,Negeri Sembilan,4.5289251720501715
2023-5,Negeri Sembilan,4.744444113756614
2023-6,Negeri Sembilan,5.054569444444445
2023-7,Negeri Sembilan,5.320807936507936
2023-8,Negeri Sembilan,5.0260608465608465
2023-9,Negeri Sembilan,5.317863582919139
2023-10,Negeri Sembilan,4.8299792328042335
2023-11,Negeri Sembilan,5.045417936507937
2022-1,Pahang,5.838986092862358
2022-2,Pahang,5.383757662552102
2022-3,Pahang,5.063977231718603
2022-4,Pahang,5.08340366346131
2022-5,Pahang,5.155728847948814
2022-6,Pahang,5.610946747553382
2022-7,Pahang,5.7945175094995145
2022-8,Pahang,5.648668341518608
2022-9,Pahang,5.836044595527291
2022-10,Pahang,5.819326975120208
2022-11,Pahang,5.829094121752184
2022-12,Pahang,5.892683640883791
2023-1,Pahang,5.800088300476415
2023-2,Pahang,5.753359629761218
2023-3,Pahang,5.483077828205214
2023-4,Pahang,5.24330553057024
2023-5,Pahang,5.551899058058794
2023-6,Pahang,5.941503628919885
2023-7,Pahang,5.867526472852926
2023-8,Pahang,5.528188962609757
2023-9,Pahang,5.4216314404348465
2023-10,Pahang,5.420060962826032
2023-11,Pahang,5.351708661194327
2022-1,Perak,6.107219583289733
2022-2,Perak,5.9583924228957255
2022-3,Perak,5.935099734186459
2022-4,Perak,5.772371551799443
2022-5,Perak,6.023557675181715
2022-6,Perak,5.979140650040725
2022-7,Perak,6.195748829136626
2022-8,Perak,6.303588595810008
2022-9,Perak,6.36962979739553
2022-10,Perak,6.385825531893622
2022-11,Perak,6.40998076173709
2022-12,Perak,6.230890809811572
2023-1,Perak,6.265526295058515
2023-2,Perak,6.259291913673582
2023-3,Perak,6.207355426370187
2023-4,Perak,6.032775631303945
2023-5,Perak,6.142995489575367
2023-6,Perak,6.161232320677099
2023-7,Perak,6.013561453490618
2023-8,Perak,6.072471315083284
2023-9,Perak,6.114182527475113
2023-10,Perak,6.112710583054974
2023-11,Perak,6.14023363823006
2022-1,Perlis,6.408189655172414
2022-2,Perlis,6.291
2022-3,Perlis,6.468024691358024
2022-4,Perlis,5.997321428571429
2022-5,Perlis,5.975
2022-6,Perlis,6.167959770114942
2022-7,Perlis,6.385555555555555
2022-8,Perlis,6.647625
2022-9,Perlis,6.762194444444444
2022-10,Perlis,6.9806481481481475
2022-11,Perlis,7.207852564102565
2022-12,Perlis,7.1625287356321845
2023-1,Perlis,7.2543452380952385
2023-2,Perlis,6.927301282051283
2023-3,Perlis,7.263903225806452
2023-4,Perlis,6.924791666666667
2023-5,Perlis,6.4685724637681155
2023-6,Perlis,6.613320987654322
2023-7,Perlis,6.125533333333333
2023-8,Perlis,6.283890804597701
2023-9,Perlis,6.354944444444445
2023-10,Perlis,6.3721000000000005
2023-11,Perlis,6.680526666666667
2022-1,Pulau Pinang,6.766390946218533
2022-2,Pulau Pinang,6.737213074720108
2022-3,Pulau Pinang,6.274994516300194
2022-4,Pulau Pinang,6.202953231706848
2022-5,Pulau Pinang,6.7247385714285715
2022-6,Pulau Pinang,6.5328124177860625
2022-7,Pulau Pinang,6.509194556905083
2022-8,Pulau Pinang,6.6982144495224984
2022-9,Pulau Pinang,6.687122998388158
2022-10,Pulau Pinang,6.463987103232902
2022-11,Pulau Pinang,6.589513825074326
2022-12,Pulau Pinang,6.723218766863838
2023-1,Pulau Pinang,6.563129930360144
2023-2,Pulau Pinang,6.65013078290893
2023-3,Pulau Pinang,6.795010902633936
2023-4,Pulau Pinang,6.540011632521201
2023-5,Pulau Pinang,6.548523711423237
2023-6,Pulau Pinang,6.724663204210005
