date,state,price
2022-1,Johor,4.484106746431161
2022-2,Johor,4.543173981164884
2022-3,Johor,4.657447011169795
2022-4,Johor,4.893812363132355
2022-5,Johor,5.002598383290044
2022-6,Johor,5.076603303379401
2022-7,Johor,5.246351307443568
2022-8,Johor,5.214668735537386
2022-9,Johor,5.283053093349055
2022-10,Johor,4.999653943512632
2022-11,Johor,5.205690569148232
2022-12,Johor,5.265093787123129
2023-1,Johor,5.347773035996392
2023-2,Johor,5.334265402430239
2023-3,Johor,5.551624247033707
2023-4,Johor,5.3732545301671495
2023-5,Johor,5.328341983569071
2023-6,Johor,5.377453705613525
2023-7,Johor,5.291825593043891
2023-8,Johor,5.367384085484399
2023-9,Johor,5.313202464482617
2023-10,Johor,5.224754611133202
2023-11,Johor,4.925780105776299
2022-1,Kedah,4.12380655574695
2022-2,Kedah,4.212240527721628
2022-3,Kedah,4.225396655326728
2022-4,Kedah,4.351163608559264
2022-5,Kedah,4.5234155750008584
2022-6,Kedah,4.838034113841743
2022-7,Kedah,4.938728014560056
2022-8,Kedah,4.979589504676535
2022-9,Kedah,5.04142275825829
2022-10,Kedah,4.844951491547812
2022-11,Kedah,4.991647899330359
2022-12,Kedah,5.064086058610553
2023-1,Kedah,4.984960041427861
2023-2,Kedah,5.036320914675308
2023-3,Kedah,5.108254498169232
2023-4,Kedah,5.12481595161235
2023-5,Kedah,5.090284758629986
2023-6,Kedah,5.101985035183546
2023-7,Kedah,5.15650168529325
2023-8,Kedah,5.200559690697275
2023-9,Kedah,5.165340236708764
2023-10,Kedah,5.157932472038575
2023-11,Kedah,4.71542805881472
2022-1,Kelantan,4.572975766434838
2022-2,Kelantan,4.692448412478808
2022-3,Kelantan,4.73077124020792
2022-4,Kelantan,4.760048195051134
2022-5,Kelantan,5.002447927654411
2022-6,Kelantan,5.305043731150939
2022-7,Kelantan,5.450773668158548
2022-8,Kelantan,5.456378763358741
2022-9,Kelantan,5.453691066738299
2022-10,Kelantan,5.221462834647101
2022-11,Kelantan,5.318264697384333
2022-12,Kelantan,5.5818467677505765
2023-1,Kelantan,5.657304698311663
2023-2,Kelantan,5.632778478918215
2023-3,Kelantan,5.66835088212182
2023-4,Kelantan,5.6666452129102876
2023-5,Kelantan,5.663861470602662
2023-6,Kelantan,5.670018933187264
2023-7,Kelantan,5.685957006214474
2023-8,Kelantan,5.689190172454331
2023-9,Kelantan,5.700270897985891
2023-10,Kelantan,5.636863958538525
2023-11,Kelantan,5.292125510381761
2022-1,Melaka,4.396552390528364
2022-2,Melaka,4.414700681347638
2022-3,Melaka,4.473857352325094
2022-4,Melaka,4.7146242619431025
2022-5,Melaka,4.905247792207792
2022-6,Melaka,4.918739653799474
2022-7,Melaka,5.014005515099592
2022-8,Melaka,5.01375966439857
2022-9,Melaka,5.088043799528807
2022-10,Melaka,4.9228653869422505
2022-11,Melaka,5.0897014492753625
2022-12,Melaka,5.099471866339558
2023-1,Melaka,5.164759661835749
2023-2,Melaka,5.262285876361964
2023-3,Melaka,5.298306630084891
2023-4,Melaka,5.248035718050066
2023-5,Melaka,5.246519323671498
2023-6,Melaka,5.228088675687666
2023-7,Melaka,5.18126919027832
2023-8,Melaka,5.251493029486042
2023-9,Melaka,5.239199458619749
2023-10,Melaka,5.075242076824142
2023-11,Melaka,4.893114689440994
2022-1,Negeri Sembilan,4.521017138578634
2022-2,Negeri Sembilan,4.613841594816252
2022-3,Negeri Sembilan,4.691406931718979
2022-4,Negeri Sembilan,4.920916065177266
2022-5,Negeri Sembilan,5.132810032265589
2022-6,Negeri Sembilan,5.366541892586238
2022-7,Negeri Sembilan,5.488285589814438
2022-8,Negeri Sembilan,5.420877551561185
2022-9,Negeri Sembilan,5.583375728821524
2022-10,Negeri Sembilan,5.0681521384570685
2022-11,Negeri Sembilan,5.414548948374097
2022-12,Negeri Sembilan,5.518432800264249
2023-1,Negeri Sembilan,5.474572220860468
2023-2,Negeri Sembilan,5.520000311673265
2023-3,Negeri Sembilan,5.508217080497322
2023-4,Negeri Sembilan,5.441806578086073
2023-5,Negeri Sembilan,5.482675451221149
2023-6,Negeri Sembilan,5.457823456712823
2023-7,Negeri Sembilan,5.270042027363534
2023-8,Negeri Sembilan,5.328498987707116
2023-9,Negeri Sembilan,5.094084958902771
2023-10,Negeri Sembilan,4.98560743238539
2023-11,Negeri Sembilan,4.609349179525477
2022-1,Pahang,4.576865257750745
2022-2,Pahang,4.631195385683909
2022-3,Pahang,4.690061592662623
2022-4,Pahang,4.9062722988382435
2022-5,Pahang,5.008467156968366
2022-6,Pahang,5.178675874477902
2022-7,Pahang,5.391448192156802
2022-8,Pahang,5.5193400236680725
2022-9,Pahang,5.584875685416907
2022-10,Pahang,5.288988421752417
2022-11,Pahang,5.4730968096143044
2022-12,Pahang,5.559514987803037
2023-1,Pahang,5.5420365035429064
2023-2,Pahang,5.610840147548085
2023-3,Pahang,5.650847096337213
2023-4,Pahang,5.6813071234236965
2023-5,Pahang,5.63726409912656
2023-6,Pahang,5.697525633720095
2023-7,Pahang,5.506571103489386
2023-8,Pahang,5.669965258665152
2023-9,Pahang,5.727242993073447
2023-10,Pahang,5.80239465942869
2023-11,Pahang,5.360521272071445
2022-1,Perak,4.567335363259399
2022-2,Perak,4.585061371444999
2022-3,Perak,4.492078838320794
2022-4,Perak,4.723286295678718
2022-5,Perak,4.910917710511374
2022-6,Perak,5.115102111060396
2022-7,Perak,5.203865952297192
2022-8,Perak,5.130587683256938
2022-9,Perak,5.225870086749167
2022-10,Perak,5.010023672644562
2022-11,Perak,5.216107134086367
2022-12,Perak,5.233111255221269
2023-1,Perak,5.308711775000585
2023-2,Perak,5.302383015941299
2023-3,Perak,5.317780641932915
2023-4,Perak,5.315184329109911
2023-5,Perak,5.278472509623071
2023-6,Perak,5.287301482969336
2023-7,Perak,5.225836445225786
2023-8,Perak,5.431541560500111
2023-9,Perak,5.469535149582187
2023-10,Perak,5.365165932144245
2023-11,Perak,5.012484058875944
2022-1,Perlis,3.528661965322885
2022-2,Perlis,3.635105055935701
2022-3,Perlis,3.7957770202020202
2022-4,Perlis,4.064791729868204
2022-5,Perlis,3.9409442637348646
2022-6,Perlis,4.081807582838618
2022-7,Perlis,4.353898837787726
2022-8,Perlis,4.596700238095238
2022-9,Perlis,4.497675804527529
2022-10,Perlis,4.382228434065935
2022-11,Perlis,4.563756559489893
2022-12,Perlis,4.509070853858785
2023-1,Perlis,4.803702542497185
2023-2,Perlis,5.084151310228233
2023-3,Perlis,5.012822353266182
