date,state,price
2022-1,Johor,8.503901088273974
2022-2,Johor,8.492793827432347
2022-3,Johor,8.541035353761663
2022-4,Johor,8.262949317782391
2022-5,Johor,8.367483623454468
2022-6,Johor,8.332683823483688
2022-7,Johor,8.484311596564838
2022-8,Johor,8.48243746707349
2022-9,Johor,8.491968312658518
2022-10,Johor,8.456790958226422
2022-11,Johor,8.374810582693733
2022-12,Johor,8.459547875900228
2023-1,Johor,8.317201967559555
2023-2,Johor,8.347015944525477
2023-3,Johor,8.483598604635866
2023-4,Johor,8.181973928574532
2023-5,Johor,8.18483639193606
2023-6,Johor,8.269670643131247
2023-7,Johor,8.246166003723099
2023-8,Johor,8.294289387038033
2023-9,Johor,8.237450157600371
2023-10,Johor,8.289207868371252
2023-11,Johor,8.296284194504592
2022-1,Kedah,8.26746827088989
2022-2,Kedah,8.194768228524698
2022-3,Kedah,8.149843246523124
2022-4,Kedah,7.827188076790747
2022-5,Kedah,7.856209494691308
2022-6,Kedah,8.122818338950468
2022-7,Kedah,8.13230688125752
2022-8,Kedah,8.081391538955508
2022-9,Kedah,8.15970047063767
2022-10,Kedah,8.293171315840343
2022-11,Kedah,7.882494814045956
2022-12,Kedah,7.996343470420917
2023-1,Kedah,7.983938520408573
2023-2,Kedah,8.016250470680571
2023-3,Kedah,7.878938171296109
2023-4,Kedah,7.921314686406385
2023-5,Kedah,8.019104426161991
2023-6,Kedah,8.087404014272254
2023-7,Kedah,8.091732693277432
2023-8,Kedah,8.02265870549009
2023-9,Kedah,8.043993732882083
2023-10,Kedah,8.050384920093961
2023-11,Kedah,8.14875897443932
2022-1,Kelantan,8.624910474611335
2022-2,Kelantan,8.657691073055021
2022-3,Kelantan,8.65090687863542
2022-4,Kelantan,8.576297523333634
2022-5,Kelantan,8.540709919155661
2022-6,Kelantan,8.596591080755607
2022-7,Kelantan,8.651341209454866
2022-8,Kelantan,8.724219029699263
2022-9,Kelantan,8.691352875315452
2022-10,Kelantan,8.713641419026615
2022-11,Kelantan,8.681221803712207
2022-12,Kelantan,8.730644290546463
2023-1,Kelantan,8.74787894434678
2023-2,Kelantan,8.707932798347727
2023-3,Kelantan,8.586977409859923
2023-4,Kelantan,8.584421401641771
2023-5,Kelantan,8.63814691499114
2023-6,Kelantan,8.65785078320401
2023-7,Kelantan,8.68934795807109
2023-8,Kelantan,8.726289448573402
2023-9,Kelantan,8.780721833615255
2023-10,Kelantan,8.853744581970727
2023-11,Kelantan,8.841877004345086
2022-1,Melaka,8.305437341547341
2022-2,Melaka,8.344344933269628
2022-3,Melaka,8.342010520475316
2022-4,Melaka,8.22782167011732
2022-5,Melaka,8.340458373626374
2022-6,Melaka,8.204458032107627
2022-7,Melaka,8.11060955600631
2022-8,Melaka,8.07914824147755
2022-9,Melaka,8.064684259981624
2022-10,Melaka,8.198654479847495
2022-11,Melaka,8.13831481217685
2022-12,Melaka,8.22570505245115
2023-1,Melaka,8.454103626738844
2023-2,Melaka,8.2805296310262
2023-3,Melaka,8.309867525976204
2023-4,Melaka,8.263761547140854
2023-5,Melaka,8.305542749183006
2023-6,Melaka,8.406345737230232
2023-7,Melaka,8.36921069649376
2023-8,Melaka,8.402290240668917
2023-9,Melaka,8.29285985559466
2023-10,Melaka,8.189249637171107
2023-11,Melaka,8.203046942182
2022-1,Negeri Sembilan,8.46858105761311
2022-2,Negeri Sembilan,8.488657797057305
2022-3,Negeri Sembilan,8.3742593731135
2022-4,Negeri Sembilan,8.248055021652322
2022-5,Negeri Sembilan,8.253957558692296
2022-6,Negeri Sembilan,8.46888151154485
2022-7,Negeri Sembilan,8.49010634013835
2022-8,Negeri Sembilan,8.413255837043907
2022-9,Negeri Sembilan,8.464892880368424
2022-10,Negeri Sembilan,8.509727085073795
2022-11,Negeri Sembilan,8.412021770753253
2022-12,Negeri Sembilan,8.484108554546848
2023-1,Negeri Sembilan,8.425006513234337
2023-2,Negeri Sembilan,8.425293274541412
2023-3,Negeri Sembilan,8.218969457633719
2023-4,Negeri Sembilan,7.988198616090427
2023-5,Negeri Sembilan,8.006073580742513
2023-6,Negeri Sembilan,8.119718594711006
2023-7,Negeri Sembilan,8.294746771599975
2023-8,Negeri Sembilan,8.371611757091834
2023-9,Negeri Sembilan,8.344855914351042
2023-10,Negeri Sembilan,8.2396973465196
2023-11,Negeri Sembilan,8.22288191025612
2022-1,Pahang,8.242890322664138
2022-2,Pahang,8.24123496535517
2022-3,Pahang,8.231180386159947
2022-4,Pahang,8.188988210216952
2022-5,Pahang,8.178412168027617
2022-6,Pahang,8.08443643983524
2022-7,Pahang,8.151003152730974
2022-8,Pahang,8.157437992922114
2022-9,Pahang,8.222326338969912
2022-10,Pahang,8.254978665517331
2022-11,Pahang,8.229041313757405
2022-12,Pahang,8.147973176794007
2023-1,Pahang,8.112003486117452
2023-2,Pahang,8.115171944202489
2023-3,Pahang,8.048487200180553
2023-4,Pahang,8.033333845439872
2023-5,Pahang,7.999797941409137
2023-6,Pahang,8.053495011948643
2023-7,Pahang,8.104225090333099
2023-8,Pahang,8.117075369876307
2023-9,Pahang,8.093344786939895
2023-10,Pahang,8.188668181315498
2023-11,Pahang,8.289414012934895
2022-1,Perak,8.333167315667426
2022-2,Perak,8.343002984171498
2022-3,Perak,8.360699630430217
2022-4,Perak,8.044542842119377
2022-5,Perak,8.16155162960013
2022-6,Perak,8.219704332768252
2022-7,Perak,8.319718931299983
2022-8,Perak,8.286739994855683
2022-9,Perak,8.246177735741417
2022-10,Perak,8.285859344884487
2022-11,Perak,8.242435851684979
2022-12,Perak,8.271957182059616
2023-1,Perak,8.410489002240636
2023-2,Perak,8.288962621818841
2023-3,Perak,7.998237431749239
2023-4,Perak,7.893025763639613
2023-5,Perak,8.069999914184727
2023-6,Perak,8.130748731684166
2023-7,Perak,8.230384389456153
2023-8,Perak,8.372367718330588
2023-9,Perak,8.302193417873324
2023-10,Perak,8.37713499693265
2023-11,Perak,8.362165512466747
2022-1,Perlis,7.971430060206804
2022-2,Perlis,8.044392483772329
2022-3,Perlis,7.942359200014077
2022-4,Perlis,7.72681667911567
2022-5,Perlis,7.254816871066872
2022-6,Perlis,7.618334838898987
2022-7,Perlis,7.750407815460459
2022-8,Perlis,8.447161201516348
2022-9,Perlis,7.948829075491221
2022-10,Perlis,7.800094976204351
2022-11,Perlis,7.8744297839506165
2022-12,Perlis,7.817640060224042
2023-1,Perlis,7.707362687211981
2023-2,Perlis,7.744755633255632
2023-3,Perlis,7.762323760769632
2023-4,Perlis,7.70434123655914
2023-5,Perlis,7.716748155492146
2023-6,Perlis,7.720628296415312
2023-7,Perlis,7.598650263720954
2023-8,Perlis,7.678240161672369
2023-9,Perlis,7.5423245531573295
2023-10,Perlis,7.683402380176574
2023-11,Perlis,8.274003585858587
2022-1,Pulau Pinang,8.524244831437672
2022-2,Pulau Pinang,8.488780906341553
2022-3,Pulau Pinang,8.350347796950077
2022-4,Pulau Pinang,8.144837972507318
2022-5,Pulau Pinang,8.19773093612906
2022-6,Pulau Pinang,8.27724413084907
2022-7,Pulau Pinang,8.37608118810579
2022-8,Pulau Pinang,8.266387507078301
2022-9,Pulau Pinang,8.306281666528506
2022-10,Pulau Pinang,8.484062170403206
2022-11,Pulau Pinang,8.373171732406398
2022-12,Pulau Pinang,8.472244436569888
2023-1,Pulau Pinang,8.557760063502474
2023-2,Pulau Pinang,8.635616098670953
2023-3,Pulau Pinang,8.384381344769041
2023-4,Pulau Pinang,8.232123551596077
2023-5,Pulau Pinang,8.497668744399144
2023-6,Pulau Pinang,8.620931618128695
2023-7,Pulau Pinang,8.543918248382214
2023-8,Pulau Pinang,8.595803344668587
2023-9,Pulau Pinang,8.577920549511202
2023-10,Pulau Pinang,8.563623087892145
2023-11,Pulau Pinang,8.562939707698114
2022-1,Sabah,8.72808035283059
2022-2,Sabah,8.574711268895278
2022-3,Sabah,8.621394677493388
2022-4,Sabah,8.446853749423877
2022-5,Sabah,8.422553457354905
2022-6,Sabah,8.34542274470642
2022-7,Sabah,8.3891985746063
2022-8,Sabah,8.36872177699426
2022-9,Sabah,8.460654537813705
2022-10,Sabah,8.406531837613796
2022-11,Sabah,8.507109568044138
2022-12,Sabah,8.427795137225408
2023-1,Sabah,8.48576711906904
2023-2,Sabah,8.505080712403355
2023-3,Sabah,8.376724354379311
2023-4,Sabah,8.353422436614933
2023-5,Sabah,8.33037681238529
2023-6,Sabah,8.26756783759759
2023-7,Sabah,8.298135055210103
2023-8,Sabah,8.23866819473344
2023-9,Sabah,8.235115689477684
2023-10,Sabah,8.143037288198716
2023-11,Sabah,8.017580539154652
2022-1,Sarawak,8.19550521674262
2022-2,Sarawak,8.15306490954769
2022-3,Sarawak,8.159917551034091
2022-4,Sarawak,8.044482681593532
2022-5,Sarawak,8.08759655756456
2022-6,Sarawak,8.210314653654798
2022-7,Sarawak,8.282073384809237
2022-8,Sarawak,8.201900335677832
2022-9,Sarawak,8.2212255626954
2022-10,Sarawak,8.206749774892522
2022-11,Sarawak,8.16497562022985
2022-12,Sarawak,8.182358982064
2023-1,Sarawak,8.190365140307039
2023-2,Sarawak,8.155552355079738
2023-3,Sarawak,8.182014333322835
2023-4,Sarawak,8.24656094834377
2023-5,Sarawak,8.240108083012533
2023-6,Sarawak,8.264853095936452
2023-7,Sarawak,8.22238513941704
2023-8,Sarawak,8.22069136710032
2023-9,Sarawak,8.128785889482554
2023-10,Sarawak,8.17198776362774
2023-11,Sarawak,8.112004774684728
2022-1,Selangor,9.338013550045698
2022-2,Selangor,9.3411949070441
2022-3,Selangor,9.279986987715104
2022-4,Selangor,8.880841665320665
2022-5,Selangor,8.969717568726276
2022-6,Selangor,9.0343489561683
2022-7,Selangor,9.112317725543406
2022-8,Selangor,9.11134811215359
2022-9,Selangor,9.140254291562986
2022-10,Selangor,9.211464148646753
2022-11,Selangor,9.023652839296972
2022-12,Selangor,9.093872445832769
2023-1,Selangor,9.228713285469102
2023-2,Selangor,9.19925561296822
2023-3,Selangor,8.84004259309095
2023-4,Selangor,8.627345917391956
2023-5,Selangor,8.915674452299994
2023-6,Selangor,9.068316589720444
2023-7,Selangor,9.113332105969368
2023-8,Selangor,9.290540593144348
2023-9,Selangor,9.246817408737886
2023-10,Selangor,9.354411243904757
2023-11,Selangor,9.2497905298383
2022-1,Terengganu,8.337166168279051
2022-2,Terengganu,8.447346273181788
2022-3,Terengganu,8.446010747860193
2022-4,Terengganu,8.474997987481505
2022-5,Terengganu,8.409447135216753
2022-6,Terengganu,8.592360334083883
2022-7,Terengganu,8.638985506055777
2022-8,Terengganu,8.639698927899977
2022-9,Terengganu,8.759598559459
2022-10,Terengganu,8.755199357958466
2022-11,Terengganu,8.790628023134953
2022-12,Terengganu,8.67890930516105
2023-1,Terengganu,8.600748994550852
2023-2,Terengganu,8.49448720644355
2023-3,Terengganu,8.50007009935532
2023-4,Terengganu,8.523187460575805
2023-5,Terengganu,8.559237936550065
2023-6,Terengganu,8.401789351796788
2023-7,Terengganu,8.46136959509605
2023-8,Terengganu,8.47652179458296
2023-9,Terengganu,8.61108949813919
2023-10,Terengganu,8.642098355735811
2023-11,Terengganu,8.493762573676264
2022-1,W.P. Kuala Lumpur,9.70589222940562
2022-2,W.P. Kuala Lumpur,9.594792828336871
2022-3,W.P. Kuala Lumpur,9.5014049122355
2022-4,W.P. Kuala Lumpur,9.187098523059635
2022-5,W.P. Kuala Lumpur,9.183586502719917
2022-6,W.P. Kuala Lumpur,9.396793019447626
2022-7,W.P. Kuala Lumpur,9.441040080022614
2022-8,W.P. Kuala Lumpur,9.45107373399236
2022-9,W.P. Kuala Lumpur,9.470812415275212
2022-10,W.P. Kuala Lumpur,9.553905344103104
2022-11,W.P. Kuala Lumpur,9.646180941872933
2022-12,W.P. Kuala Lumpur,9.722396746684169
2023-1,W.P. Kuala Lumpur,9.7982151353512
2023-2,W.P. Kuala Lumpur,9.68009086598187
2023-3,W.P. Kuala Lumpur,9.502572423123528
2023-4,W.P. Kuala Lumpur,9.134710516204265
2023-5,W.P. Kuala Lumpur,9.572093738008737
2023-6,W.P. Kuala Lumpur,9.691044655205545
2023-7,W.P. Kuala Lumpur,9.561153197040714
2023-8,W.P. Kuala Lumpur,9.510992400491917
2023-9,W.P. Kuala Lumpur,9.772766171256352
2023-10,W.P. Kuala Lumpur,9.822975242857302
2023-11,W.P. Kuala Lumpur,9.818308054418793
2022-1,W.P. Labuan,8.30459595959596
2022-2,W.P. Labuan,8.26367365967366
2022-3,W.P. Labuan,8.286825325212423
2022-4,W.P. Labuan,8.278908045977012
2022-5,W.P. Labuan,8.271032059727712
2022-6,W.P. Labuan,8.278786137234414
2022-7,W.P. Labuan,8.211444715998288
2022-8,W.P. Labuan,7.959978502978503
2022-9,W.P. Labuan,7.915964284757388
2022-10,W.P. Labuan,8.264962250051536
2022-11,W.P. Labuan,8.307251863362975
2022-12,W.P. Labuan,8.316781609195402
2023-1,W.P. Labuan,8.381136579469914
2023-2,W.P. Labuan,8.36106585081585
2023-3,W.P. Labuan,8.347321039175878
2023-4,W.P. Labuan,8.291468376068377
2023-5,W.P. Labuan,8.319951298701298
2023-6,W.P. Labuan,8.336457292707292
2023-7,W.P. Labuan,8.224612794612794
2023-8,W.P. Labuan,8.24022077539319
2023-9,W.P. Labuan,8.14151515151515
2023-10,W.P. Labuan,8.110304843304844
2023-11,W.P. Labuan,8.106408236208237
2022-1,W.P. Putrajaya,10.003275862068966
2022-2,W.P. Putrajaya,9.711122222222222
2022-3,W.P. Putrajaya,9.181975806451613
2022-4,W.P. Putrajaya,9.816319923371648
2022-5,W.P. Putrajaya,9.746512857142857
2022-6,W.P. Putrajaya,9.995842911877395
2022-7,W.P. Putrajaya,9.895908588435374
2022-8,W.P. Putrajaya,10.350750925925926
2022-9,W.P. Putrajaya,10.292954022988505
2022-10,W.P. Putrajaya,10.844876984126984
2022-11,W.P. Putrajaya,10.47411316872428
2022-12,W.P. Putrajaya,10.778363984674327
2023-1,W.P. Putrajaya,10.480905349794238
2023-2,W.P. Putrajaya,10.772157407407406
2023-3,W.P. Putrajaya,9.86539605734767
2023-4,W.P. Putrajaya,9.061306666666667
2023-5,W.P. Putrajaya,9.973215277777777
2023-6,W.P. Putrajaya,10.074178571428572
2023-7,W.P. Putrajaya,9.28154537037037
2023-8,W.P. Putrajaya,10.073477422003286
2023-9,W.P. Putrajaya,9.931402116402117
2023-10,W.P. Putrajaya,10.372022486772487
2023-11,W.P. Putrajaya,10.369731111111111
