date,state,price
2022-1,Johor,8.819996618488853
2022-2,Johor,7.181269977813016
2022-3,Johor,7.582876507227154
2022-4,Johor,7.406400111614689
2022-5,Johor,7.92359915698677
2022-6,Johor,7.243841875701324
2022-7,Johor,7.481812218552573
2022-8,Johor,9.084636445547014
2022-9,Johor,11.040520825125299
2022-10,Johor,9.854515874736522
2022-11,Johor,9.53979474324635
2022-12,Johor,6.415037868353263
2023-1,Johor,7.576793079861624
2023-2,Johor,9.034741874785212
2023-3,Johor,7.837606970876468
2023-4,Johor,9.55063292665756
2023-5,Johor,8.276319036364109
2023-6,Johor,8.204687151426665
2023-7,Johor,8.222189583130257
2023-8,Johor,7.459472522822238
2023-9,Johor,6.930843912304728
2023-10,Johor,7.095358709682972
2023-11,Johor,7.1867386120962005
2022-1,Kedah,8.963550180239716
2022-2,Kedah,7.560647380157223
2022-3,Kedah,8.151595304967975
2022-4,Kedah,7.827657355376214
2022-5,Kedah,8.275974300718392
2022-6,Kedah,7.925464913893286
2022-7,Kedah,7.82365567025441
2022-8,Kedah,9.197176766326082
2022-9,Kedah,11.219331642036341
2022-10,Kedah,10.41403032507152
2022-11,Kedah,10.266532488270599
2022-12,Kedah,7.373392445288645
2023-1,Kedah,8.497767587296341
2023-2,Kedah,9.563364588335753
2023-3,Kedah,8.554974968770933
2023-4,Kedah,10.02924980114481
2023-5,Kedah,8.844850723504456
2023-6,Kedah,8.75232102558907
2023-7,Kedah,8.665346969300304
2023-8,Kedah,7.903330541592275
2023-9,Kedah,7.555421875602592
2023-10,Kedah,7.774893088073222
2023-11,Kedah,7.868405535424324
2022-1,Kelantan,8.521580221418233
2022-2,Kelantan,7.053870710403794
2022-3,Kelantan,7.7037036498267595
2022-4,Kelantan,7.665844793443089
2022-5,Kelantan,8.490187375388096
2022-6,Kelantan,7.742812696156523
2022-7,Kelantan,8.09904554835126
2022-8,Kelantan,9.660798064328272
2022-9,Kelantan,11.505702678695545
2022-10,Kelantan,10.224049342329284
2022-11,Kelantan,9.950046211732317
2022-12,Kelantan,7.189727239676923
2023-1,Kelantan,8.623448823658334
2023-2,Kelantan,9.694381005589976
2023-3,Kelantan,8.474749947500014
2023-4,Kelantan,10.425540541598247
2023-5,Kelantan,8.990114341540513
2023-6,Kelantan,9.110733243253277
2023-7,Kelantan,8.706708794197105
2023-8,Kelantan,7.753825499714463
