date,state,price
2022-1,Johor,6.319413217899911
2022-2,Johor,5.993632319167001
2022-3,Johor,5.820980598573954
2022-4,Johor,5.97840862276213
2022-5,Johor,6.348182517219002
2022-6,Johor,5.614664228073318
2022-7,Johor,5.475826230580061
2022-8,Johor,5.444353740819162
2022-9,Johor,5.283808977920595
2022-10,Johor,5.397244892006015
2022-11,Johor,5.449427691825047
2022-12,Johor,5.091894715170389
2023-1,Johor,4.899952707367058
2023-2,Johor,4.823392456286076
2023-3,Johor,4.953414427708345
2023-4,Johor,4.764442369680799
2023-5,Johor,4.415418675562262
2023-6,Johor,4.853307645541882
2023-7,Johor,5.172884816180458
2023-8,Johor,5.04224427219719
2023-9,Johor,5.0589447016897475
2023-10,Johor,5.1251964696167525
2023-11,Johor,4.9426041495283775
2022-1,Kedah,6.645545935257582
2022-2,Kedah,6.144129076726507
2022-3,Kedah,5.719709083874216
2022-4,Kedah,6.346823393114602
2022-5,Kedah,6.62848522020826
2022-6,Kedah,6.178512094210154
2022-7,Kedah,6.302192726871451
2022-8,Kedah,6.208660846751288
2022-9,Kedah,6.100866363211951
2022-10,Kedah,6.070604498614561
2022-11,Kedah,6.256484943977592
2022-12,Kedah,5.8957832260389536
2023-1,Kedah,5.417815201901582
2023-2,Kedah,5.536340024325519
2023-3,Kedah,5.375906053123003
2023-4,Kedah,5.2917214851067405
2023-5,Kedah,5.0817578328480515
2023-6,Kedah,5.248310345252599
2023-7,Kedah,5.351261658060809
2023-8,Kedah,5.04062703864699
2023-9,Kedah,5.154754269934095
2023-10,Kedah,5.297976456255016
2023-11,Kedah,5.043046079092905
2022-1,Kelantan,6.477411002886003
2022-2,Kelantan,5.972350295260295
2022-3,Kelantan,5.747462167760554
2022-4,Kelantan,5.924782840722496
2022-5,Kelantan,6.450717476967477
2022-6,Kelantan,5.871402298850575
2022-7,Kelantan,5.814134508824509
2022-8,Kelantan,5.549906926406927
2022-9,Kelantan,5.909855694114316
2022-10,Kelantan,5.669531960376788
2022-11,Kelantan,5.697052541661237
2022-12,Kelantan,5.192981024531024
2023-1,Kelantan,4.988890087881467
2023-2,Kelantan,4.7665537389565165
2023-3,Kelantan,4.666621267621268
2023-4,Kelantan,4.690925465838509
2023-5,Kelantan,4.512530603655604
2023-6,Kelantan,4.616523698523698
2023-7,Kelantan,5.312953683353683
2023-8,Kelantan,5.514389061555728
2023-9,Kelantan,4.949757964257965
2023-10,Kelantan,4.867717345872518
2023-11,Kelantan,4.811867110453649
2022-1,Melaka,6.114139814814815
2022-2,Melaka,6.1089174603174605
2022-3,Melaka,5.632311325771004
2022-4,Melaka,5.804361172777839
2022-5,Melaka,6.182505036075037
2022-6,Melaka,5.524394329808123
2022-7,Melaka,5.2813442004424145
2022-8,Melaka,5.256950985795814
2022-9,Melaka,5.174694345884001
2022-10,Melaka,5.13180591581038
2022-11,Melaka,5.3986642637198194
2022-12,Melaka,4.926329119156706
2023-1,Melaka,4.839645621867844
2023-2,Melaka,4.928720982720983
2023-3,Melaka,4.972895593295593
2023-4,Melaka,4.781224869248399
2023-5,Melaka,4.672555132367632
2023-6,Melaka,4.684099989296418
2023-7,Melaka,5.158749389499389
2023-8,Melaka,4.9295194582203505
2023-9,Melaka,4.951266286182953
2023-10,Melaka,4.824071224608725
2023-11,Melaka,4.94646847985348
2022-1,Negeri Sembilan,6.235731550059136
2022-2,Negeri Sembilan,5.74725898989899
2022-3,Negeri Sembilan,5.526023330373331
2022-4,Negeri Sembilan,5.898078763828764
2022-5,Negeri Sembilan,6.167361269841271
2022-6,Negeri Sembilan,5.1761170189963295
2022-7,Negeri Sembilan,5.468876511729199
2022-8,Negeri Sembilan,5.628501066526066
2022-9,Negeri Sembilan,5.657074940385286
2022-10,Negeri Sembilan,5.654646534021535
2022-11,Negeri Sembilan,5.745572994906329
2022-12,Negeri Sembilan,4.870124922969751
2023-1,Negeri Sembilan,4.7607983469521935
2023-2,Negeri Sembilan,4.78035122053872
2023-3,Negeri Sembilan,4.983536511875222
2023-4,Negeri Sembilan,4.788433430885354
2023-5,Negeri Sembilan,4.3251876503126505
2023-6,Negeri Sembilan,4.803207653457654
2023-7,Negeri Sembilan,5.044091347541348
2023-8,Negeri Sembilan,4.897641008682676
2023-9,Negeri Sembilan,4.82538555534879
2023-10,Negeri Sembilan,4.938718131868132
