date,state,price
2022-1,Johor,2.887391930914114
2022-2,Johor,2.9014932234840702
2022-3,Johor,2.8330177719018375
2022-4,Johor,2.7850928145124985
2022-5,Johor,2.9460537821029322
2022-6,Johor,3.201186985807949
2022-7,Johor,3.280440462187869
2022-8,Johor,3.312472527449381
2022-9,Johor,3.3003918519511695
2022-10,Johor,3.4012318019605945
2022-11,Johor,3.387033080392803
2022-12,Johor,3.4673623440940973
2023-1,Johor,3.4680705809931274
2023-2,Johor,3.454828006158269
2023-3,Johor,3.4605666521022314
2023-4,Johor,3.493975064905963
2023-5,Johor,3.5686569941454973
2023-6,Johor,3.5143710871934095
2023-7,Johor,3.6423287459344054
2023-8,Johor,3.696354165456653
2023-9,Johor,3.784788854721084
2023-10,Johor,3.721314427212553
2023-11,Johor,3.8561167439477995
2022-1,Kedah,3.363354888867507
2022-2,Kedah,3.408248377935684
2022-3,Kedah,3.4134632999504007
2022-4,Kedah,3.307345408192699
2022-5,Kedah,3.3120190248819235
2022-6,Kedah,3.4669221709816145
2022-7,Kedah,3.605159989462426
2022-8,Kedah,3.6598553433048577
2022-9,Kedah,3.819325068501635
2022-10,Kedah,3.841313504162541
2022-11,Kedah,3.8276864589647057
2022-12,Kedah,3.8907765931974208
2023-1,Kedah,3.950932893787028
2023-2,Kedah,3.9512347344199834
2023-3,Kedah,3.981382835990636
2023-4,Kedah,4.072321384793476
2023-5,Kedah,4.020951372210008
2023-6,Kedah,4.005790591594373
2023-7,Kedah,4.156164045701017
2023-8,Kedah,4.236064961363611
2023-9,Kedah,4.2794316789466915
2023-10,Kedah,4.282315444996867
2023-11,Kedah,4.296238616297063
2022-1,Kelantan,3.2337003367003367
2022-2,Kelantan,3.2667095959595964
2022-3,Kelantan,3.20649948796723
2022-4,Kelantan,3.3115447579240684
2022-5,Kelantan,3.234392191142191
2022-6,Kelantan,3.712195053988158
2022-7,Kelantan,3.925186363636364
2022-8,Kelantan,4.145382828282829
2022-9,Kelantan,4.142291274817137
2022-10,Kelantan,4.109563218390805
2022-11,Kelantan,4.068589371980677
2022-12,Kelantan,4.203217821067821
2023-1,Kelantan,4.044119644723093
2023-2,Kelantan,4.1711142108919885
2023-3,Kelantan,4.088058651026393
