date,state,price
2022-1,Johor,4.692824804864812
2022-2,Johor,4.736562114617043
2022-3,Johor,4.790861530732505
2022-4,Johor,4.788137514858729
2022-5,Johor,4.806239647767328
2022-6,Johor,5.005032569098993
2022-7,Johor,5.1572689727417025
2022-8,Johor,5.512389389338605
2022-9,Johor,5.662176753240941
2022-10,Johor,5.789338804121134
2022-11,Johor,5.931732320459828
2022-12,Johor,6.083527346545952
2023-1,Johor,6.166219106295641
2023-2,Johor,6.37756943394404
2023-3,Johor,6.48087501925016
2023-4,Johor,6.548794117888727
2023-5,Johor,6.5975342324519595
2023-6,Johor,6.516225062399317
2023-7,Johor,6.61766237025629
2023-8,Johor,6.681366578655754
2023-9,Johor,6.804237809835122
2023-10,Johor,6.881623951413682
2023-11,Johor,6.910647993004779
2022-1,Kedah,5.306367825333643
2022-2,Kedah,5.457250640113679
2022-3,Kedah,5.413455958857229
2022-4,Kedah,5.384719246420459
2022-5,Kedah,5.29862219839972
2022-6,Kedah,5.43609572286754
2022-7,Kedah,5.463997263511508
2022-8,Kedah,5.463331196172498
2022-9,Kedah,5.3976114416417005
2022-10,Kedah,5.453889940416219
2022-11,Kedah,5.690210449262533
2022-12,Kedah,5.769208115177051
2023-1,Kedah,5.831895527343716
2023-2,Kedah,5.8502925514767306
2023-3,Kedah,5.997719686843371
2023-4,Kedah,6.006716607305738
2023-5,Kedah,6.150550237136264
2023-6,Kedah,6.133503506213808
2023-7,Kedah,6.106719338279777
2023-8,Kedah,6.20713326292206
2023-9,Kedah,6.256769914434993
2023-10,Kedah,6.239190567550784
2023-11,Kedah,6.157179094945975
2022-1,Kelantan,5.160534793130641
2022-2,Kelantan,5.163036473602809
2022-3,Kelantan,5.231914292581206
2022-4,Kelantan,5.288773582896818
2022-5,Kelantan,5.309771486242631
2022-6,Kelantan,5.3544033349089855
2022-7,Kelantan,5.46602283581514
2022-8,Kelantan,5.7232472506284235
2022-9,Kelantan,5.9956812091033544
2022-10,Kelantan,6.070453491823122
2022-11,Kelantan,6.07277515023784
2022-12,Kelantan,6.201455932315464
2023-1,Kelantan,6.215738860919013
2023-2,Kelantan,6.202230508767341
2023-3,Kelantan,6.219207864937806
2023-4,Kelantan,6.256439329295847
2023-5,Kelantan,6.18678543080327
2023-6,Kelantan,6.317441688760949
2023-7,Kelantan,6.369137895768424
2023-8,Kelantan,6.45116054425075
2023-9,Kelantan,6.472801384862783
2023-10,Kelantan,6.591350744873276
2023-11,Kelantan,6.59568468168255
2022-1,Melaka,4.92913374958375
2022-2,Melaka,4.956434603174603
2022-3,Melaka,5.03621088767863
2022-4,Melaka,5.068171742866188
2022-5,Melaka,5.050982005772006
2022-6,Melaka,5.047165504036194
2022-7,Melaka,5.150675936132833
2022-8,Melaka,5.359694966910484
2022-9,Melaka,5.697158412468758
2022-10,Melaka,5.835907847113204
2022-11,Melaka,6.06563912938913
2022-12,Melaka,6.277425747624023
2023-1,Melaka,6.44814217469773
2023-2,Melaka,6.545343434343435
