date,state,price
2022-1,Johor,11.62247386454762
2022-2,Johor,11.628237235496753
2022-3,Johor,11.6609172898396
2022-4,Johor,11.654661410187456
2022-5,Johor,11.667711924804356
2022-6,Johor,11.68557432182614
2022-7,Johor,12.254951163807972
2022-8,Johor,12.27910168191154
2022-9,Johor,12.282670372580316
2022-10,Johor,12.292817736599702
2022-11,Johor,12.273421687201687
2022-12,Johor,12.25626692033457
2023-1,Johor,12.280470348104382
2023-2,Johor,12.279232724699888
2023-3,Johor,12.282990432395406
2023-4,Johor,12.27503174245522
2023-5,Johor,12.264935260771823
2023-6,Johor,12.20504803389157
2023-7,Johor,12.218629580134468
2023-8,Johor,12.264221633584238
2023-9,Johor,12.269105275077345
2023-10,Johor,12.25772529377917
2023-11,Johor,12.229994695094877
2022-1,Kedah,11.682611334150543
2022-2,Kedah,11.697353846153844
2022-3,Kedah,11.697947368421051
2022-4,Kedah,11.673247428975552
2022-5,Kedah,11.67666985578036
2022-6,Kedah,11.7
2022-7,Kedah,12.277837762377677
2022-8,Kedah,12.296483986928106
2022-9,Kedah,12.3
2022-10,Kedah,12.3
2022-11,Kedah,12.300000000000002
2022-12,Kedah,12.3
2023-1,Kedah,12.299464285714288
2023-2,Kedah,12.299333333333333
2023-3,Kedah,12.300000000000002
2023-4,Kedah,12.295307692307691
2023-5,Kedah,12.290305631868131
2023-6,Kedah,12.268727558836993
2023-7,Kedah,12.28944170771757
2023-8,Kedah,12.3
2023-9,Kedah,12.297564534231201
2023-10,Kedah,12.300000000000002
2023-11,Kedah,12.288630536130539
2022-1,Kelantan,11.645870870480476
2022-2,Kelantan,11.65507082309847
2022-3,Kelantan,11.66217500359894
2022-4,Kelantan,11.670424125909378
2022-5,Kelantan,11.663340053435137
2022-6,Kelantan,11.664845423349899
2022-7,Kelantan,12.253624445053383
2022-8,Kelantan,12.29482759804297
2022-9,Kelantan,12.275771487640151
2022-10,Kelantan,12.299738095238096
2022-11,Kelantan,12.299927536231886
2022-12,Kelantan,12.295718506493508
2023-1,Kelantan,12.301345083487941
2023-2,Kelantan,12.2966534216812
2023-3,Kelantan,12.298668458781362
2023-4,Kelantan,12.300100890495889
2023-5,Kelantan,12.296578555909207
2023-6,Kelantan,12.283037739673729
2023-7,Kelantan,12.287429817331791
2023-8,Kelantan,12.283073148045373
2023-9,Kelantan,12.26619075947201
2023-10,Kelantan,12.282935487152018
2023-11,Kelantan,12.281096495228
2022-1,Melaka,11.634617592592594
2022-2,Melaka,11.684426666666665
2022-3,Melaka,11.690635269748173
2022-4,Melaka,11.675082824582823
2022-5,Melaka,11.67305111111111
2022-6,Melaka,11.687894611135992
2022-7,Melaka,12.27537384440956
2022-8,Melaka,12.297683925270132
2022-9,Melaka,12.296792804896253
2022-10,Melaka,12.296993197278912
2022-11,Melaka,12.299290123456792
2022-12,Melaka,12.298125615763547
2023-1,Melaka,12.299106701940037
2023-2,Melaka,12.302820546737214
2023-3,Melaka,12.298834776334777
2023-4,Melaka,12.29895867077367
2023-5,Melaka,12.29928587962963
2023-6,Melaka,12.269567743764172
2023-7,Melaka,12.268798748473749
2023-8,Melaka,12.255618777056279
2023-9,Melaka,12.276625220458554
2023-10,Melaka,12.22707328042328
2023-11,Melaka,12.220444155844156
2022-1,Negeri Sembilan,11.646857596634224
2022-2,Negeri Sembilan,11.677824555509849
2022-3,Negeri Sembilan,11.68444375172471
2022-4,Negeri Sembilan,11.676547533216771
2022-5,Negeri Sembilan,11.68311721380099
2022-6,Negeri Sembilan,11.689387892660818
2022-7,Negeri Sembilan,12.270374936470004
2022-8,Negeri Sembilan,12.299629629629631
2022-9,Negeri Sembilan,12.29865900383142
2022-10,Negeri Sembilan,12.224074074074075
2022-11,Negeri Sembilan,12.3
2022-12,Negeri Sembilan,12.3
2023-1,Negeri Sembilan,12.3
2023-2,Negeri Sembilan,12.300000000000002
2023-3,Negeri Sembilan,12.3
2023-4,Negeri Sembilan,12.294745719024565
2023-5,Negeri Sembilan,12.288512357793996
2023-6,Negeri Sembilan,12.291264390371534
2023-7,Negeri Sembilan,12.291116955756662
2023-8,Negeri Sembilan,12.296985381902049
2023-9,Negeri Sembilan,12.298311379978047
2023-10,Negeri Sembilan,12.297578825858238
2023-11,Negeri Sembilan,12.289676190476191
2022-1,Pahang,11.631792149564085
2022-2,Pahang,11.671210813723256
2022-3,Pahang,11.67703855016176
2022-4,Pahang,11.665244784040187
2022-5,Pahang,11.668638734664514
2022-6,Pahang,11.668838323777448
2022-7,Pahang,12.254599258983674
2022-8,Pahang,12.277183589247114
2022-9,Pahang,12.27399263328142
2022-10,Pahang,12.290320136212994
2022-11,Pahang,12.24768812463257
2022-12,Pahang,12.255372308894623
2023-1,Pahang,12.21901675485009
2023-2,Pahang,12.23794807371278
2023-3,Pahang,12.26031260538465
2023-4,Pahang,12.267957213725781
2023-5,Pahang,12.274948053196786
2023-6,Pahang,12.213631281419776
2023-7,Pahang,12.244604357077904
2023-8,Pahang,12.263391083431697
2023-9,Pahang,12.25139501742572
2023-10,Pahang,12.239165172327672
2023-11,Pahang,12.244906376693482
2022-1,Perak,11.665250261843152
2022-2,Perak,11.676400917033828
2022-3,Perak,11.68814191495153
2022-4,Perak,11.667937049400013
2022-5,Perak,11.678553102356272
2022-6,Perak,11.690468521948564
2022-7,Perak,12.269742171479534
2022-8,Perak,12.285503881692541
2022-9,Perak,12.29835815047022
2022-10,Perak,12.298240877178378
2022-11,Perak,12.289690523152064
2022-12,Perak,12.296551724137931
2023-1,Perak,12.3
2023-2,Perak,12.278478567758203
2023-3,Perak,12.275018709390377
2023-4,Perak,12.283685249325494
2023-5,Perak,12.28673158419624
2023-6,Perak,12.279042374730858
2023-7,Perak,12.28149880457882
2023-8,Perak,12.290796401943329
2023-9,Perak,12.299422052771726
2023-10,Perak,12.299452041785376
2023-11,Perak,12.299422514619884
2022-1,Perlis,11.582653846153846
2022-2,Perlis,11.5
2022-3,Perlis,11.619540229885057
2022-4,Perlis,11.603188775510205
2022-5,Perlis,11.48611111111111
2022-6,Perlis,11.546458333333334
2022-7,Perlis,12.19090909090909
2022-8,Perlis,12.226185897435897
2022-9,Perlis,12.073333333333332
2022-10,Perlis,12.22
2022-11,Perlis,12.22
2022-12,Perlis,12.3
2023-1,Perlis,12.3
2023-2,Perlis,12.3
2023-3,Perlis,12.3
2023-4,Perlis,12.117777777777778
2023-5,Perlis,12.273333333333335
2023-6,Perlis,12.26923076923077
2023-7,Perlis,12.106666666666667
2023-8,Perlis,12.165000000000001
2023-9,Perlis,12.257142857142858
2023-10,Perlis,12.292857142857144
2023-11,Perlis,12.2725
2022-1,Pulau Pinang,11.678596566937076
2022-2,Pulau Pinang,11.677890893975304
2022-3,Pulau Pinang,11.696917360178471
2022-4,Pulau Pinang,11.676042613323492
2022-5,Pulau Pinang,11.683210952390992
2022-6,Pulau Pinang,11.694914829101155
2022-7,Pulau Pinang,12.281674771460729
2022-8,Pulau Pinang,12.292258529798284
2022-9,Pulau Pinang,12.291700953961474
2022-10,Pulau Pinang,12.285850329819443
2022-11,Pulau Pinang,12.262310606060607
2022-12,Pulau Pinang,12.289926201671891
2023-1,Pulau Pinang,12.274556369556372
2023-2,Pulau Pinang,12.267393964953175
2023-3,Pulau Pinang,12.285403832161048
2023-4,Pulau Pinang,12.286440536594618
2023-5,Pulau Pinang,12.283702646093404
2023-6,Pulau Pinang,12.259736097365368
2023-7,Pulau Pinang,12.261591875490575
2023-8,Pulau Pinang,12.2665442203069
2023-9,Pulau Pinang,12.277187251936995
2023-10,Pulau Pinang,12.26081485027557
2023-11,Pulau Pinang,12.265080131066492
2022-1,Sabah,13.936506023729292
2022-2,Sabah,13.994579362562702
2022-3,Sabah,13.97168463779976
2022-4,Sabah,13.98088942334673
2022-5,Sabah,13.940336333578538
2022-6,Sabah,14.011738543492244
2022-7,Sabah,14.613536309155728
2022-8,Sabah,14.634084468454896
2022-9,Sabah,14.64853777085547
2022-10,Sabah,14.651531388185978
2022-11,Sabah,14.661001209490099
2022-12,Sabah,14.672323757195185
2023-1,Sabah,14.668824293539107
2023-2,Sabah,14.672379721382153
2023-3,Sabah,14.64831254707061
2023-4,Sabah,14.62706473104673
2023-5,Sabah,14.591836609391835
2023-6,Sabah,14.571378716852035
2023-7,Sabah,14.54348496077466
2023-8,Sabah,14.521704534303845
2023-9,Sabah,14.574723906589888
2023-10,Sabah,14.616622819916355
2023-11,Sabah,14.616446393759693
2022-1,Sarawak,12.209366410601225
2022-2,Sarawak,12.233461139809007
2022-3,Sarawak,12.253799196062225
2022-4,Sarawak,12.282828047094199
2022-5,Sarawak,12.358402916321946
2022-6,Sarawak,12.54119897386564
2022-7,Sarawak,12.930716049382717
2022-8,Sarawak,12.994026195971783
2022-9,Sarawak,13.049732683200578
2022-10,Sarawak,13.072200143945446
2022-11,Sarawak,13.076270887034775
2022-12,Sarawak,13.056005062944719
2023-1,Sarawak,12.92878306878307
2023-2,Sarawak,12.9106875
2023-3,Sarawak,13.084107142857144
2023-4,Sarawak,13.054095238095238
2023-5,Sarawak,12.848489583333333
2023-6,Sarawak,12.949489926739927
2023-7,Sarawak,13.030544608648059
2023-8,Sarawak,12.940160919540231
2023-9,Sarawak,13.097999999999999
2023-10,Sarawak,12.97594827586207
2023-11,Sarawak,12.94888888888889
2022-1,Selangor,11.634731286839456
2022-2,Selangor,11.65446079715525
2022-3,Selangor,11.657331792845534
2022-4,Selangor,11.64277358438721
2022-5,Selangor,11.634761162336899
2022-6,Selangor,11.64565274498438
2022-7,Selangor,12.236493376312202
2022-8,Selangor,12.24612007236741
2022-9,Selangor,12.256189621143374
2022-10,Selangor,12.235639179331406
2022-11,Selangor,12.219261597456043
2022-12,Selangor,12.239818874541097
2023-1,Selangor,12.241280779859212
2023-2,Selangor,12.22079508717117
2023-3,Selangor,12.219013717044561
2023-4,Selangor,12.217899829224086
2023-5,Selangor,12.192767851546963
2023-6,Selangor,12.194562788604896
2023-7,Selangor,12.215560854237218
2023-8,Selangor,12.249307379087778
2023-9,Selangor,12.249583508213446
2023-10,Selangor,12.244788229304273
2023-11,Selangor,12.214359803176139
2022-1,Terengganu,11.63002188135938
2022-2,Terengganu,11.671683407002353
2022-3,Terengganu,11.626530538961827
2022-4,Terengganu,11.611032219193277
2022-5,Terengganu,11.63318593711467
2022-6,Terengganu,11.64313598380434
2022-7,Terengganu,12.204860523830089
2022-8,Terengganu,12.217659191374727
2022-9,Terengganu,12.210776128633272
2022-10,Terengganu,12.226684981684981
2022-11,Terengganu,12.247719363969365
2022-12,Terengganu,12.262545155993433
2023-1,Terengganu,12.256917517006803
2023-2,Terengganu,12.268531684981685
2023-3,Terengganu,12.272522463169015
2023-4,Terengganu,12.281961516492766
2023-5,Terengganu,12.272651569057858
2023-6,Terengganu,12.23926114568841
2023-7,Terengganu,12.182514055594874
2023-8,Terengganu,12.198225484446244
2023-9,Terengganu,12.207087442848756
2023-10,Terengganu,12.256730158730159
2023-11,Terengganu,12.249651395173455
2022-1,W.P. Kuala Lumpur,11.631195583451289
2022-2,W.P. Kuala Lumpur,11.628288991935205
2022-3,W.P. Kuala Lumpur,11.632705617341488
2022-4,W.P. Kuala Lumpur,11.614707755727032
2022-5,W.P. Kuala Lumpur,11.630283444405062
