date,state,price
2022-1,Johor,5.077643995412384
2022-2,Johor,5.112920634629639
2022-3,Johor,4.859558469745171
2022-4,Johor,5.148477976416207
2022-5,Johor,5.2000034100418695
2022-6,Johor,5.544984214758917
2022-7,Johor,5.977657564853314
2022-8,Johor,4.772315742167142
2022-9,Johor,5.136699649639052
2022-10,Johor,5.514719137889599
2022-11,Johor,5.4375927314661805
2022-12,Johor,6.494428974981096
2023-1,Johor,6.123907308455235
2023-2,Johor,6.367333665128303
2023-3,Johor,6.8273484669050095
2023-4,Johor,6.116798150180396
2023-5,Johor,4.54792210562822
2023-6,Johor,5.08083648793992
2023-7,Johor,4.961111135175495
2023-8,Johor,5.285273752711774
2023-9,Johor,6.001267514681429
2023-10,Johor,6.053187881969578
2023-11,Johor,6.285614919575805
2022-1,Kedah,4.2015386379343065
2022-2,Kedah,4.2875365010789
2022-3,Kedah,4.433061804429374
2022-4,Kedah,4.797949789958331
2022-5,Kedah,4.696850258038984
2022-6,Kedah,5.061170193094107
2022-7,Kedah,5.740022009736295
2022-8,Kedah,3.777425240020308
2022-9,Kedah,4.450196270914406
2022-10,Kedah,5.185736227330493
2022-11,Kedah,5.442516166575347
2022-12,Kedah,5.813590617253117
2023-1,Kedah,5.870885913016145
2023-2,Kedah,6.090214356166709
2023-3,Kedah,6.3599248481537956
2023-4,Kedah,5.925351632944272
2023-5,Kedah,4.469171996832359
2023-6,Kedah,4.913954099757312
2023-7,Kedah,4.736632820504562
2023-8,Kedah,5.489289541913768
2023-9,Kedah,5.754185911156586
2023-10,Kedah,5.976624192011942
2023-11,Kedah,5.708955898182485
2022-1,Kelantan,4.56149253986754
2022-2,Kelantan,4.211250250762309
2022-3,Kelantan,4.189921146953405
2022-4,Kelantan,4.1549466398872825
2022-5,Kelantan,4.94386568986569
2022-6,Kelantan,5.631889162561577
2022-7,Kelantan,6.074779404125287
2022-8,Kelantan,4.234144355127444
2022-9,Kelantan,4.825132047071702
2022-10,Kelantan,4.873303627819834
2022-11,Kelantan,5.241312300018822
2022-12,Kelantan,6.653927777777778
2023-1,Kelantan,6.6802257799671585
2023-2,Kelantan,5.960585097001764
2023-3,Kelantan,6.111090932365126
2023-4,Kelantan,5.0631002327323
2023-5,Kelantan,4.021859669657899
2023-6,Kelantan,4.581994722158184
2023-7,Kelantan,4.543696181713916
2023-8,Kelantan,4.733750458863462
2023-9,Kelantan,6.543255952380953
2023-10,Kelantan,5.471944168013641
2023-11,Kelantan,5.977339399916323
2022-1,Melaka,5.2389903439153445
2022-2,Melaka,5.136139696969696
2022-3,Melaka,4.83668458781362
2022-4,Melaka,5.2263139329806
2022-5,Melaka,5.370710476190476
2022-6,Melaka,6.116699233716475
2022-7,Melaka,6.36264314058957
2022-8,Melaka,4.905180860327412
2022-9,Melaka,5.117210591133005
2022-10,Melaka,5.860151747062461
2022-11,Melaka,5.644692320025654
2022-12,Melaka,6.553542282430214
2023-1,Melaka,6.776348177542622
2023-2,Melaka,6.728722222222222
2023-3,Melaka,7.161379894179894
2023-4,Melaka,6.383829206349207
2023-5,Melaka,4.444493356180856
2023-6,Melaka,5.066384108946609
2023-7,Melaka,4.90870563973064
2023-8,Melaka,5.269354166666667
2023-9,Melaka,5.915648148148148
2023-10,Melaka,6.061731986531986
2023-11,Melaka,6.004251111111111
2022-1,Negeri Sembilan,4.739319192301951
2022-2,Negeri Sembilan,4.739752376512376
2022-3,Negeri Sembilan,4.685986949161949
2022-4,Negeri Sembilan,5.025489269064269
2022-5,Negeri Sembilan,5.01461418026418
2022-6,Negeri Sembilan,5.55882442748822
2022-7,Negeri Sembilan,6.081102743999296
2022-8,Negeri Sembilan,4.2118776652541365
2022-9,Negeri Sembilan,4.81979110066179
2022-10,Negeri Sembilan,5.449621225996226
2022-11,Negeri Sembilan,5.4224400013566685
2022-12,Negeri Sembilan,6.297534345922277
2023-1,Negeri Sembilan,6.0540440211497915
2023-2,Negeri Sembilan,6.6978644480519485
2023-3,Negeri Sembilan,7.052150194787291
2023-4,Negeri Sembilan,6.00718592593932
2023-5,Negeri Sembilan,4.293795833931863
2023-6,Negeri Sembilan,4.966934522322916
2023-7,Negeri Sembilan,4.6685078153056105
2023-8,Negeri Sembilan,5.353315255731923
2023-9,Negeri Sembilan,6.0726308136308145
2023-10,Negeri Sembilan,5.7654524351193475
2023-11,Negeri Sembilan,6.249321776556777
2022-1,Pahang,4.9870351370691886
2022-2,Pahang,5.076145088674267
2022-3,Pahang,4.739471620998085
2022-4,Pahang,5.278530269977122
2022-5,Pahang,5.589302407259307
2022-6,Pahang,5.8040982067248095
2022-7,Pahang,6.220879922125774
2022-8,Pahang,5.128804805804834
2022-9,Pahang,5.417337895999681
2022-10,Pahang,5.845009082481184
2022-11,Pahang,5.891252616601075
2022-12,Pahang,6.6491216487764655
2023-1,Pahang,6.7975614601598515
2023-2,Pahang,6.830590032909477
2023-3,Pahang,7.3354142879851265
2023-4,Pahang,6.3876980548966795
2023-5,Pahang,4.663498957340413
2023-6,Pahang,5.638442838372346
2023-7,Pahang,5.677777544813226
2023-8,Pahang,5.847232639856957
2023-9,Pahang,6.43102472727069
2023-10,Pahang,6.646799882075703
2023-11,Pahang,6.772491195103072
2022-1,Perak,4.638944063965681
2022-2,Perak,4.542880666692816
2022-3,Perak,4.544665358922118
2022-4,Perak,5.06287063634075
2022-5,Perak,5.20703406711176
2022-6,Perak,5.467778086376507
2022-7,Perak,6.192086100511732
2022-8,Perak,4.406131437011522
2022-9,Perak,4.938196029386679
2022-10,Perak,5.561274215148955
2022-11,Perak,5.744908210746821
2022-12,Perak,6.346562825829629
2023-1,Perak,6.074375719583001
2023-2,Perak,6.395645755138695
2023-3,Perak,7.097470940918706
2023-4,Perak,5.9779407254008445
2023-5,Perak,4.449640393285374
2023-6,Perak,5.113910752378915
2023-7,Perak,4.90406325611796
2023-8,Perak,5.66228673697887
2023-9,Perak,5.826460636024856
2023-10,Perak,5.999642797265987
2023-11,Perak,6.232578621655494
2022-1,Perlis,4.183206896551725
2022-2,Perlis,4.068194444444445
2022-3,Perlis,4.685384615384615
2022-4,Perlis,4.9653205128205125
2022-5,Perlis,4.573181818181818
2022-6,Perlis,5.1413
2022-7,Perlis,5.836679012345679
2022-8,Perlis,4.286872222222223
2022-9,Perlis,4.694931034482758
2022-10,Perlis,5.437339285714286
2022-11,Perlis,5.306444444444445
2022-12,Perlis,6.075269230769231
2023-1,Perlis,5.970178571428571
2023-2,Perlis,6.1345769230769225
2023-3,Perlis,7.277016129032258
2023-4,Perlis,6.65946
2023-5,Perlis,4.7558188405797095
2023-6,Perlis,4.751691358024692
2023-7,Perlis,4.31125
2023-8,Perlis,5.517270114942528
2023-9,Perlis,6.251543209876543
2023-10,Perlis,5.857222222222222
2023-11,Perlis,5.568
2022-1,Pulau Pinang,4.430897870207918
2022-2,Pulau Pinang,4.402073350173044
2022-3,Pulau Pinang,4.375173419971707
2022-4,Pulau Pinang,4.673339528026359
2022-5,Pulau Pinang,4.743044880686401
2022-6,Pulau Pinang,5.20591012114794
2022-7,Pulau Pinang,5.899974808108679
2022-8,Pulau Pinang,4.20443947482793
2022-9,Pulau Pinang,4.689262366470938
2022-10,Pulau Pinang,5.263815550514172
2022-11,Pulau Pinang,5.3949449569327905
2022-12,Pulau Pinang,5.85983736408094
2023-1,Pulau Pinang,5.826675462738177
2023-2,Pulau Pinang,6.064053293358391
2023-3,Pulau Pinang,6.513488901891611
2023-4,Pulau Pinang,5.9146964244332665
2023-5,Pulau Pinang,4.814445800472856
2023-6,Pulau Pinang,5.075492441148329
2023-7,Pulau Pinang,4.88710508190523
2023-8,Pulau Pinang,5.450177913622748
2023-9,Pulau Pinang,5.815189175985569
2023-10,Pulau Pinang,6.007811942981205
2023-11,Pulau Pinang,5.974626641148324
2022-1,Sabah,3.896697768358615
2022-2,Sabah,4.096398840944802
2022-3,Sabah,4.032260117823222
2022-4,Sabah,4.0462183093561555
2022-5,Sabah,4.098179983097184
2022-6,Sabah,4.231918596379956
2022-7,Sabah,4.276686954556169
2022-8,Sabah,4.218156828049912
2022-9,Sabah,4.373326267154282
2022-10,Sabah,4.4921100522627615
2022-11,Sabah,4.563015529778
2022-12,Sabah,4.499450620839734
2023-1,Sabah,4.43927222243861
2023-2,Sabah,4.549455733063816
2023-3,Sabah,4.612391525508369
2023-4,Sabah,4.7543776035313865
2023-5,Sabah,4.682032968052504
2023-6,Sabah,4.697979322685211
2023-7,Sabah,4.692028661466955
2023-8,Sabah,4.621247798446604
2023-9,Sabah,4.672809267477437
2023-10,Sabah,4.734007355466093
2023-11,Sabah,4.7907168108512215
2022-1,Sarawak,6.872299996865593
2022-2,Sarawak,6.719982373854216
2022-3,Sarawak,6.898398081685907
2022-4,Sarawak,6.906048076556065
2022-5,Sarawak,6.958018606052705
2022-6,Sarawak,7.028698835308496
2022-7,Sarawak,7.437322901175775
2022-8,Sarawak,7.306060710222725
2022-9,Sarawak,7.159907784233592
2022-10,Sarawak,7.524830497222418
2022-11,Sarawak,7.868012073426682
2022-12,Sarawak,7.797379645476856
2023-1,Sarawak,7.801820309160596
2023-2,Sarawak,7.938120774532921
2023-3,Sarawak,7.776551639376816
2023-4,Sarawak,7.883390813322722
2023-5,Sarawak,7.887352599333575
2023-6,Sarawak,7.63415200418543
2023-7,Sarawak,7.788604951897667
